frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,270.6,235.608,288.912,291.233,520.74,552.455,538.481,492.3,180.167,182.431,335.385,345.064,186.158,187.376,358.664,335,253.104,181.299,536.5975,186.767
1,270.701,235.971,288.912,291.233,521.394,552.809,538.607,492.3,180.37,182.771,335.944,345.064,186.346,187.834,358.709,335,253.336,181.5705,537.1015,187.09
2,270.701,235.971,289.269,291.233,521.394,552.809,538.607,492.3,180.37,182.771,336.004,345.064,186.373,187.834,358.709,335,253.336,181.5705,537.1015,187.1035
3,270.701,236.025,289.269,291.233,521.297,552.583,538.607,492.3,180.167,182.821,336.092,345.064,186.346,187.834,358.722,335,253.363,181.494,536.94,187.09
4,270.553,236.025,289.269,291.233,521.297,552.583,538.579,492.3,180.523,182.821,336.004,345.064,186.346,187.549,358.722,335,253.289,181.672,536.94,186.9475
5,270.553,236.12,289.688,291.233,521.297,552.532,538.438,492.3,180.255,182.771,335.953,345.064,186.346,187.415,358.752,335,253.3365,181.513,536.9145,186.8805
6,270.48,236.12,290.03,291.233,521.297,552.444,538.438,492.3,180.164,182.723,335.953,345.064,186.212,187.385,358.826,335,253.3,181.4435,536.8705,186.7985
7,270.471,236.12,290.03,291.233,521.429,552.132,538.579,492.3,180.164,182.723,335.596,345.064,186.122,187.385,359.075,335,253.2955,181.4435,536.7805,186.7535
8,270.48,236.273,290.03,291.233,521.429,552.042,538.592,492.3,179.794,181.625,335.596,345.064,186.196,186.829,358.826,335,253.3765,180.7095,536.7355,186.5125
9,270.677,236.273,290.03,291.233,521.429,552.042,538.721,492.3,179.794,181.625,335.596,345.064,186.196,186.829,358.826,335,253.475,180.7095,536.7355,186.5125
10,270.677,236.191,290.03,291.233,521.429,552.042,538.721,492.3,179.794,181.625,335.596,345.064,186.122,186.829,359.075,335,253.434,180.7095,536.7355,186.4755
11,271.027,236.273,291.514,291.233,521.412,552.136,538.671,492.3,180.432,181.965,336.474,345.064,186.196,187.399,359.117,335,253.65,181.1985,536.774,186.7975
12,271.757,237.175,291.514,291.233,521.412,552.154,538.592,492.3,180.704,182.077,336.491,345.064,186.521,187.521,359.37,335,254.466,181.3905,536.783,187.021
13,271.847,237.266,290.166,291.233,521.507,552.42,538.588,492.3,181.01,182.077,336.525,345.064,186.521,187.57,359.478,335,254.5565,181.5435,536.9635,187.0455
14,271.961,237.175,290.07,291.233,521.523,552.554,538.497,492.3,181.01,182.256,336.474,345.064,186.347,187.603,359.674,335,254.568,181.633,537.0385,186.975
15,271.961,237.202,290.07,291.233,521.523,552.571,538.485,492.3,181.01,182.544,336.474,345.064,186.347,187.603,359.674,335,254.5815,181.777,537.047,186.975
16,271.961,237.202,290.07,291.233,521.523,552.571,538.485,492.3,181.007,182.427,336.525,345.064,186.347,187.603,359.576,335,254.5815,181.717,537.047,186.975
17,271.961,237.202,290.07,291.233,521.523,552.609,538.399,492.3,180.911,182.427,335.651,345.064,186.318,187.612,359.674,335,254.5815,181.669,537.066,186.965
18,271.892,237.094,290.37,291.233,521.251,552.729,538.34,492.3,180.722,182.427,335.401,345.064,186.204,187.612,359.826,335,254.493,181.5745,536.99,186.908
