frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,249.10449999999997,187.7335,282.611,225.765,310.067,315.741,513.866,170.8495,521.245,346.466,500.554,354.287,265.068,233.141,499.468,528.264,189.702,185.765,171.467,170.232
1,249.10949999999997,187.7545,282.754,227.058,310.222,315.747,514.094,170.98000000000002,521.263,346.662,500.571,354.287,265.078,233.141,499.708,528.48,189.702,185.807,171.47,170.49
2,249.421,189.519,283.127,227.094,310.222,315.747,514.186,171.0815,521.456,346.662,500.571,354.647,265.701,233.141,499.708,528.664,193.225,185.813,171.663,170.5
3,249.4115,189.519,283.166,227.517,310.067,315.747,514.186,171.08550000000002,521.406,346.669,500.571,354.797,265.688,233.135,499.708,528.664,193.225,185.813,171.663,170.508
4,248.993,189.906,283.166,234.839,309.941,315.747,514.793,170.985,521.375,346.669,500.571,354.389,265.078,232.908,500.287,529.299,193.999,185.813,171.47,170.5
5,248.971,190.17399999999998,283.166,234.839,309.82,315.745,514.1855,170.985,521.375,346.675,500.571,354.797,265.078,232.864,499.651,528.72,193.999,186.349,171.47,170.5
6,248.72899999999998,190.17399999999998,283.188,235.292,309.82,315.735,514.1855,171.075,521.385,346.739,500.566,355.059,264.733,232.725,499.651,528.72,193.999,186.349,171.642,170.508
7,246.3765,188.26600000000002,283.188,235.717,309.82,315.334,514.5525,171.04250000000002,521.385,346.813,500.566,355.059,261.308,231.445,500.141,528.964,190.073,186.459,171.566,170.519
8,246.2745,188.17849999999999,283.626,235.794,310.535,315.255,514.57,170.9985,521.375,346.839,500.57,354.993,261.288,231.261,500.175,528.965,189.898,186.459,171.566,170.431
9,245.584,188.1725,283.779,235.794,310.58,315.255,514.57,170.9985,521.329,346.841,500.57,355.059,260.448,230.72,500.175,528.965,189.771,186.574,171.566,170.431
10,244.80450000000002,188.236,291.539,259.535,310.608,315.255,514.7475,170.964,521.329,346.841,500.57,355.059,259.668,229.941,500.302,529.193,189.898,186.574,171.566,170.362
11,244.034,188.4095,298.857,260.444,310.667,315.255,515.136,170.88,521.17,346.839,500.57,354.993,259.205,228.863,500.316,529.956,190.073,186.746,171.511,170.249
12,243.11100000000002,188.51850000000002,298.857,267.018,310.667,315.023,515.6725,170.643,521.167,346.95,500.091,354.756,257.975,228.247,500.834,530.511,190.19,186.847,171.15,170.136
13,242.925,188.6985,298.857,267.424,310.667,315.028,515.9795,170.5405,521.072,346.95,499.995,354.756,257.603,228.247,500.845,531.114,190.295,187.102,170.96,170.121
14,242.925,188.939,293.114,267.885,310.667,315.028,516.0185,170.52550000000002,520.9,346.708,499.755,354.756,257.603,228.247,500.857,531.18,190.511,187.367,170.941,170.11
15,242.925,189.1395,293.114,268.048,310.667,314.995,516.3105,170.531,520.9,346.739,499.755,354.677,257.603,228.247,501.352,531.269,190.912,187.367,170.941,170.121
16,242.85399999999998,189.1395,293.114,269.003,310.417,314.948,516.266,170.548,520.9,346.904,499.393,354.677,257.603,228.105,501.352,531.18,190.912,187.367,170.975,170.121
17,242.893,188.97,293.114,269.003,310.417,314.948,516.2935,170.52550000000002,520.9,346.904,499.393,355.098,257.603,228.183,501.407,531.18,190.668,187.272,170.941,170.11
18,242.9325,188.97,293.281,269.003,310.417,314.583,516.4399999999999,168.26100000000002,520.9,346.835,499.393,355.098,257.682,228.183,501.7,531.18,190.668,187.272,170.871,165.651
19,243.138,189.02100000000002,293.344,268.955,305.793,314.214,516.8955000000001,168.281,520.905,346.835,499.527,355.095,257.682,228.594,501.749,532.042,190.77,187.272,170.871,165.691
20,242.9325,189.1655,293.344,268.955,300.02,314.214,516.871,168.2455,520.89,346.835,499.69,355.095,257.682,228.183,501.7,532.042,190.77,187.561,170.829,165.662
21,242.9325,189.19150000000002,293.344,268.768,299.888,314.113,516.934,168.2165,520.89,346.835,499.713,355.009,257.682,228.183,501.749,532.119,190.822,187.561,170.771,165.662
22,242.7655,189.19150000000002,293.385,268.768,294.099,311.224,517.0145,168.221,520.969,346.807,499.69,354.695,257.682,227.849,501.83,532.199,190.822,187.561,170.751,165.691
23,242.2895,189.0555,298.742,268.554,294.086,310.9,517.8444999999999,168.50400000000002,521.094,346.689,499.713,354.605,257.161,227.418,502.804,532.885,190.822,187.289,170.729,166.279
24,242.2895,188.7365,299.827,267.718,293.244,309.806,520.3054999999999,170.03,521.24,346.288,499.912,354.605,257.161,227.418,507.45,533.161,190.822,186.651,170.083,169.977
25,242.255,188.61700000000002,299.845,267.451,292.409,309.155,520.62,170.36,521.277,346.267,499.999,354.695,257.161,227.349,507.524,533.716,190.788,186.446,170.043,170.677
26,242.4875,188.562,299.861,267.718,292.409,308.071,520.7255,170.446,521.614,346.267,499.999,354.735,257.759,227.216,507.738,533.713,190.682,186.442,170.083,170.809
27,242.631,188.5245,299.932,267.718,291.854,308.071,520.7435,170.426,521.614,346.267,499.999,354.735,257.913,227.349,507.771,533.716,190.682,186.367,170.043,170.809
28,242.90250000000003,188.12849999999997,299.932,267.98,292.259,307.395,520.785,170.426,521.616,346.281,500.102,355.019,258.244,227.561,507.771,533.799,189.89,186.367,170.043,170.809
29,242.9195,188.106,306.387,267.98,292.409,307.395,520.8335,170.269,521.616,346.35,500.102,355.273,258.49,227.349,507.771,533.896,189.89,186.322,170.018,170.52
30,242.853,188.071,307.458,267.98,292.691,282.388,521.2045,170.18400000000003,521.539,346.35,500.108,355.019,258.49,227.216,507.771,534.638,189.825,186.317,169.848,170.52
31,242.91750000000002,188.019,307.629,267.842,292.691,281.891,521.219,170.1645,521.518,346.378,500.108,354.483,258.49,227.345,507.798,534.64,189.736,186.302,169.809,170.52
32,243.0865,187.9595,307.629,267.698,292.691,281.891,521.2515,170.1645,521.539,346.545,500.169,354.38,258.828,227.345,507.863,534.64,189.617,186.302,169.809,170.52
33,243.0145,187.906,307.629,267.698,292.691,281.891,521.2755,170.2255,521.539,346.378,500.183,354.306,258.684,227.345,507.913,534.638,189.522,186.29,169.809,170.642
34,243.07,187.87349999999998,300.331,267.65,291.904,281.789,521.2764999999999,170.2475,521.539,346.378,500.266,353.908,258.684,227.456,507.913,534.64,189.445,186.302,169.779,170.716
35,243.267,187.8395,299.926,267.219,291.904,281.764,521.3969999999999,170.2475,521.492,346.545,500.703,353.908,258.797,227.737,507.922,534.872,189.377,186.302,169.779,170.716
36,243.956,187.7755,299.926,267.219,291.904,277.741,521.3969999999999,170.2115,521.492,347.087,500.703,353.99,258.852,229.06,507.922,534.872,189.261,186.29,169.779,170.644
37,243.9285,187.57150000000001,299.926,267.848,292.082,277.567,521.1755,170.24599999999998,521.428,347.087,500.703,353.906,258.797,229.06,507.86,534.491,188.828,186.315,169.779,170.713
38,244.0485,187.57150000000001,299.942,267.118,292.084,277.567,521.472,170.2595,521.407,347.087,500.687,353.99,258.852,229.245,507.86,535.084,188.828,186.315,169.806,170.713
39,244.2045,187.5435,300.061,267.095,292.084,277.5,521.2065,170.26299999999998,521.382,346.932,500.273,353.99,259.206,229.203,507.922,534.491,188.828,186.259,169.813,170.713
40,244.26749999999998,187.5435,300.061,267.637,292.084,277.567,521.2,170.26299999999998,521.219,346.932,500.202,353.99,259.332,229.203,507.933,534.467,188.828,186.259,169.813,170.713
41,244.32800000000003,187.6125,300.14,267.095,291.832,281.386,521.2,170.559,521.219,346.921,500.202,353.895,259.345,229.311,507.933,534.467,188.91,186.315,170.234,170.884
42,244.43,187.7155,300.187,267.095,291.76,281.701,521.2,170.6925,521.219,346.893,500.177,354.13,259.428,229.432,507.933,534.467,188.969,186.462,170.259,171.126
43,244.36950000000002,187.9315,300.187,267.063,291.752,281.62,521.188,170.834,521.315,346.893,500.072,354.326,259.428,229.311,507.933,534.443,188.969,186.894,170.28,171.388
44,244.42149999999998,187.97050000000002,300.187,267.063,291.752,281.62,521.2045,170.851,521.315,346.921,500.202,354.326,259.411,229.432,507.966,534.443,189.037,186.904,170.28,171.422
45,244.49849999999998,188.0195,300.405,267.063,291.76,281.62,521.1765,170.8405,521.315,346.893,500.095,354.319,259.515,229.482,507.91,534.443,189.114,186.925,170.259,171.422
46,244.5355,188.0345,300.405,267.063,291.76,281.62,521.2045,170.7935,521.424,346.893,500.095,354.326,259.524,229.547,507.966,534.443,189.114,186.955,170.199,171.388
47,244.5845,188.0495,299.464,260.993,292.211,280.82,521.1735,170.5845,521.522,346.849,500.588,354.319,259.524,229.645,507.966,534.381,189.129,186.97,170.186,170.983
48,244.867,188.0495,299.245,260.38,292.582,277.958,521.174,170.5005,521.473,346.903,500.709,353.973,259.753,229.981,507.967,534.381,189.129,186.97,170.134,170.867
49,245.3265,188.0495,299.245,260.175,292.649,277.864,521.3085,170.3835,521.473,346.903,500.734,353.973,260.195,230.458,507.896,534.721,189.129,186.97,170.066,170.701
50,245.39600000000002,188.0605,299.245,260.055,292.649,277.864,521.4425,170.3345,521.473,346.987,500.824,354.081,260.291,230.501,507.937,534.948,189.129,186.992,169.968,170.701
51,245.44350000000003,187.94299999999998,299.412,260.051,292.582,277.958,521.4245,170.3345,521.473,346.903,500.824,353.949,260.386,230.501,507.901,534.948,188.983,186.903,169.968,170.701
52,245.45499999999998,187.928,299.412,259.851,292.582,277.958,521.4425,170.42000000000002,521.473,346.907,500.943,353.949,260.409,230.501,507.937,534.948,188.983,186.873,169.968,170.872
53,245.6555,187.9675,299.774,260.051,292.649,280.07,521.388,170.574,521.455,346.987,500.943,353.873,260.722,230.589,507.937,534.839,189.155,186.78,170.226,170.922
54,245.61149999999998,187.961,306.773,260.055,292.335,280.109,521.3530000000001,170.6205,521.455,347.114,500.943,353.873,260.722,230.501,508.009,534.697,189.316,186.606,170.256,170.985
55,245.5085,187.94650000000001,307.17,267.494,292.335,280.856,521.3444999999999,170.66449999999998,521.455,347.156,500.792,353.873,260.551,230.466,508.034,534.655,189.316,186.577,170.259,171.07
56,245.4015,188.0385,307.326,267.494,291.222,293.105,521.2595,170.684,521.455,347.228,500.792,354.375,260.551,230.252,508.034,534.485,189.55,186.527,170.297,171.071
57,245.1655,187.97,307.326,267.547,291.222,293.275,521.2470000000001,170.684,521.38,347.253,500.792,354.387,260.272,230.059,508.009,534.485,189.55,186.39,170.297,171.071
58,244.8845,188.0385,307.434,267.494,291.222,293.742,521.332,170.82150000000001,521.38,347.228,500.85,354.387,259.825,229.944,508.009,534.655,189.55,186.527,170.362,171.281
59,244.81600000000003,188.0885,307.709,260.157,292.31,296.893,521.756,170.86700000000002,521.517,347.312,500.85,354.375,259.778,229.854,508.077,535.435,189.6,186.577,170.453,171.281
60,244.60750000000002,188.71699999999998,307.709,259.728,294.113,297.969,522.2705,170.8905,521.578,347.312,500.928,354.375,259.778,229.437,508.425,536.116,190.566,186.868,170.46,171.321
61,244.631,188.76749999999998,307.702,259.728,294.532,307.361,522.302,170.95850000000002,521.713,346.751,500.928,354.338,259.825,229.437,508.488,536.116,190.667,186.868,170.475,171.442
62,244.54899999999998,188.76749999999998,307.535,259.662,294.532,308.058,522.304,171.0575,521.755,346.751,500.928,354.338,259.977,229.121,508.492,536.116,190.667,186.868,170.578,171.537
63,244.54899999999998,188.7385,307.702,259.204,294.532,308.217,522.2675,171.06,521.713,346.791,500.928,354.338,259.977,229.121,508.488,536.047,190.667,186.81,170.578,171.542
64,244.49149999999997,188.721,307.535,259.662,294.532,309.112,522.2675,171.079,521.713,346.751,500.928,354.338,259.977,229.006,508.488,536.047,190.636,186.806,170.616,171.542
65,243.735,188.6365,307.358,259.863,294.697,309.597,522.2675,171.13,521.713,346.791,500.945,354.298,258.983,228.487,508.488,536.047,190.564,186.709,170.653,171.607
66,243.5765,188.43650000000002,307.065,267.565,294.697,309.816,522.319,171.176,521.686,346.878,500.945,354.298,258.894,228.259,508.544,536.094,190.293,186.58,170.674,171.678
67,243.17849999999999,188.383,300.765,267.654,299.961,310.802,522.3325,171.20749999999998,521.686,346.791,500.945,354.187,258.205,228.152,508.544,536.121,190.293,186.473,170.737,171.678
68,242.817,188.383,300.439,267.754,300.21,311.85,522.404,171.2595,521.679,346.762,500.945,354.187,257.641,227.993,508.687,536.121,190.293,186.473,170.809,171.71
69,242.642,188.51850000000002,300.324,268.073,300.297,311.994,522.3910000000001,171.22250000000003,521.679,346.878,501.039,354.093,257.425,227.859,508.688,536.094,190.564,186.473,170.723,171.722
70,242.10000000000002,188.8435,299.833,268.073,300.364,311.994,522.3910000000001,171.2365,521.436,346.954,501.039,354.187,257.192,227.008,508.688,536.094,190.84,186.847,170.723,171.75
71,241.4775,188.8825,299.456,277.283,300.73,311.994,522.4565,171.22250000000003,521.436,347.046,501.039,354.187,256.664,226.291,508.688,536.225,190.84,186.925,170.723,171.722
72,241.20850000000002,189.10950000000003,299.456,278.529,300.73,313.084,522.3385000000001,171.22250000000003,521.363,347.046,501.039,354.387,256.382,226.035,508.688,535.989,191.098,187.121,170.723,171.722
73,239.97050000000002,189.13400000000001,299.456,278.73,300.73,313.084,522.4010000000001,170.969,521.403,347.046,501.077,354.387,254.81,225.131,508.688,536.114,191.133,187.135,170.723,171.215
74,238.5885,189.1925,308.267,285.264,300.73,313.084,522.4495,170.93849999999998,521.436,347.007,501.077,354.492,253.065,224.112,508.674,536.225,191.2,187.185,170.736,171.141
75,238.42399999999998,189.25900000000001,309.325,292.158,300.678,313.155,522.4145,170.93849999999998,521.461,346.894,501.077,354.563,253.057,223.791,508.715,536.114,191.158,187.36,170.736,171.141
76,237.9895,189.30149999999998,309.848,293.75,300.678,313.155,522.4145,170.9755,521.461,346.885,501.077,354.786,252.993,222.986,508.715,536.114,191.158,187.445,170.736,171.215
77,237.719,189.5285,317.625,293.798,300.779,313.831,522.5,170.954,521.519,346.787,501.072,354.786,252.993,222.445,508.674,536.326,191.158,187.899,170.693,171.215
78,237.636,189.289,318.984,294.487,300.866,314.716,522.5,170.9545,521.521,346.787,500.796,354.869,252.993,222.279,508.674,536.326,190.463,188.115,170.693,171.216
79,237.47,189.3265,321.751,294.487,301.515,314.994,522.634,170.9675,521.748,346.668,500.727,354.869,252.75,222.19,508.654,536.614,190.392,188.261,170.693,171.242
80,237.4025,189.312,321.994,298.149,301.71,314.994,522.634,171.031,521.748,346.787,500.681,354.786,252.636,222.169,508.654,536.614,190.363,188.261,170.846,171.216
81,237.255,189.312,321.994,300.007,301.71,314.716,522.5129999999999,171.022,521.748,346.802,500.484,354.869,252.557,221.953,508.654,536.372,190.363,188.261,170.869,171.175
82,237.255,189.312,321.751,300.178,301.71,314.829,522.26,171.0595,521.372,346.869,500.438,354.931,252.557,221.953,508.654,535.866,190.363,188.261,170.869,171.25
83,237.178,189.312,320.999,301.198,301.67,314.829,522.2045,171.0075,521.348,346.869,500.438,354.931,252.464,221.892,508.543,535.866,190.363,188.261,170.846,171.169
84,237.178,189.5005,320.999,302.166,301.591,314.829,521.992,170.978,521.348,347.202,500.438,354.95,252.464,221.892,508.384,535.6,190.468,188.533,170.787,171.169
85,237.3535,189.8895,320.999,305.364,301.591,315.442,521.9895,171.0085,521.372,347.202,500.442,355.103,252.693,222.014,508.379,535.6,191.148,188.631,170.767,171.25
86,237.5365,190.0265,321.438,305.364,301.591,315.46,521.9785,171.00650000000002,521.543,347.202,500.442,355.208,252.877,222.196,508.357,535.6,191.304,188.749,170.763,171.25
87,237.65050000000002,190.04250000000002,321.504,305.364,301.635,315.46,521.9785,171.015,521.543,347.067,500.442,355.103,252.912,222.389,508.357,535.6,191.304,188.781,170.767,171.263
88,238.8715,190.096,323.388,304.943,302.073,315.46,521.98,171.015,521.543,347.067,500.293,355.103,254.429,223.314,508.358,535.602,191.411,188.781,170.767,171.263
89,239.9,190.04250000000002,323.794,304.877,302.073,315.367,522.0015000000001,171.0245,521.352,347.067,500.293,354.864,255.836,223.964,508.379,535.624,191.304,188.781,170.821,171.228
90,240.26299999999998,190.0515,323.948,304.306,302.073,315.347,522.0435,171.01600000000002,521.352,347.122,500.293,354.864,256.056,224.47,508.485,535.602,191.304,188.799,170.84,171.192
91,240.49,189.998,323.948,304.146,301.706,315.342,522.0005,171.01,521.352,347.122,500.481,354.729,256.123,224.857,508.517,535.484,191.191,188.805,170.84,171.18
92,241.14249999999998,190.2745,324.191,303.69,301.706,315.19,521.9875,170.9525,521.373,347.122,500.481,354.729,256.123,226.162,508.549,535.426,191.441,189.108,170.84,171.065
93,241.3075,190.29649999999998,324.191,303.559,301.635,315.134,521.925,170.9525,521.373,347.122,500.481,354.988,256.127,226.488,508.549,535.301,191.441,189.152,170.84,171.065
94,242.44850000000002,190.7745,324.342,303.047,301.635,315.134,521.906,170.92849999999999,521.373,347.128,500.177,355.114,257.348,227.549,508.549,535.263,192.072,189.477,170.84,171.017
95,243.127,191.857,324.342,303.047,301.706,315.102,521.7725,170.9325,521.249,347.128,500.156,355.517,258.332,227.922,508.535,535.01,192.545,191.169,170.848,171.017
96,243.33050000000003,191.9535,324.342,303.047,301.76,315.102,521.8035,170.8975,521.2,347.135,500.156,355.517,258.482,228.179,508.597,535.01,192.545,191.362,170.889,170.906
97,243.656,192.218,324.224,304.001,301.692,315.102,521.9775,170.87099999999998,521.184,347.148,500.177,355.517,259.05,228.262,508.654,535.301,192.545,191.891,170.908,170.834
98,244.137,192.0495,322.452,306.581,301.692,315.886,522.2505,170.839,521.2,347.374,500.264,355.541,259.05,229.224,508.739,535.762,192.208,191.891,170.908,170.77
99,244.272,191.76,322.399,306.608,301.692,315.925,522.2585,170.8245,521.122,347.374,500.264,355.517,259.32,229.224,508.739,535.778,192.158,191.362,170.889,170.76
100,244.3885,191.0235,320.266,309.975,301.192,316.253,522.4069999999999,170.756,521.122,347.347,500.441,355.541,259.445,229.332,508.846,535.968,190.777,191.27,170.77,170.742
101,244.433,190.60899999999998,320.136,310.401,300.952,316.269,522.4739999999999,170.64,521.245,347.347,500.627,355.541,259.487,229.379,508.739,536.209,190.272,190.946,170.618,170.662
102,245.636,190.4955,319.82,310.401,300.848,316.269,522.4805,170.6395,521.328,347.357,500.627,355.398,260.296,230.976,508.739,536.222,190.272,190.719,170.618,170.661
103,246.11599999999999,190.434,319.748,310.401,300.817,316.269,522.5035,170.62599999999998,521.406,347.347,500.672,354.497,261.06,231.172,508.743,536.264,190.272,190.596,170.618,170.634
104,247.126,190.851,319.597,310.766,300.023,316.269,522.5425,170.688,521.406,347.243,500.731,354.487,262.577,231.675,508.821,536.264,190.983,190.719,170.715,170.661
105,247.131,190.851,319.459,310.538,299.856,316.269,522.572,170.6905,521.406,347.115,500.914,354.376,262.587,231.675,508.808,536.336,190.983,190.719,170.72,170.661
106,247.131,190.851,318.912,309.968,299.787,316.53,522.572,170.72750000000002,521.398,347.243,500.731,354.376,262.587,231.675,508.808,536.336,190.983,190.719,170.72,170.735
107,247.0195,190.64,318.589,310.315,299.287,316.657,522.501,170.8105,521.398,347.115,500.672,354.376,262.577,231.462,508.743,536.259,190.583,190.697,170.72,170.901
108,246.673,190.6355,318.392,310.32,299.094,316.657,522.2665,170.8275,521.398,347.011,500.785,354.998,261.884,231.462,508.736,535.797,190.574,190.697,170.722,170.933
109,246.628,190.453,318.345,310.315,299.028,316.657,522.254,170.82,521.455,346.934,500.729,354.998,261.794,231.462,508.711,535.797,190.291,190.615,170.735,170.905
110,246.70049999999998,190.385,318.322,310.315,299.005,316.663,522.2435,170.80200000000002,521.455,346.934,500.729,354.998,261.794,231.607,508.711,535.776,190.233,190.537,170.703,170.901
111,247.34699999999998,189.534,318.322,310.32,299.005,316.627,522.2334999999999,170.80200000000002,521.455,346.934,500.785,354.998,261.798,232.896,508.691,535.776,190.291,188.777,170.703,170.901
112,247.34699999999998,189.534,318.345,310.864,299.028,316.627,522.2334999999999,170.77800000000002,521.673,346.897,500.788,354.998,261.798,232.896,508.691,535.776,190.291,188.777,170.685,170.871
113,247.538,189.505,318.322,310.864,299.028,316.627,522.2090000000001,170.7305,518.536,348.369,500.788,354.833,262.18,232.896,508.688,535.73,190.233,188.777,170.685,170.776
114,247.3635,189.505,318.322,310.864,299.049,316.659,522.2,170.69150000000002,518.536,348.369,500.788,354.827,262.18,232.547,508.685,535.715,190.233,188.777,170.685,170.698
