frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,232.108,208.249,268.684,218.68,549.583,570.23,526.017,540.852,185.326,175.186,316.005,252.518,209.015,219.407,233.129,317.527,220.1785,180.256,559.9065,214.211
1,232.347,208.737,268.688,220.341,549.583,570.232,526.017,540.852,186.687,175.243,316.175,252.829,209.535,219.46,233.869,317.527,220.542,180.965,559.9075,214.4975
2,232.794,208.737,268.699,226.132,549.608,570.494,526.131,540.852,186.694,175.249,316.187,252.843,209.615,219.484,234.253,317.527,220.7655,180.9715,560.051,214.5495
3,232.794,208.788,268.699,226.132,549.608,570.494,526.131,540.852,186.953,175.473,316.187,253.003,209.625,219.484,234.253,317.527,220.791,181.213,560.051,214.5545
4,232.794,208.737,268.699,226.136,549.608,570.494,526.104,540.852,187.261,175.473,316.238,253.852,209.872,219.71,234.285,317.527,220.7655,181.367,560.051,214.791
5,232.801,208.587,268.699,227.884,549.657,570.494,526.104,540.852,187.261,175.473,316.321,259.397,209.625,219.71,234.253,317.527,220.694,181.367,560.0755,214.6675
6,232.913,208.194,268.341,229.933,549.862,570.61,526.104,540.852,187.261,175.473,316.321,269.06,209.615,219.71,234.386,317.527,220.5535,181.367,560.236,214.6625
7,232.913,207.831,268.3,230.802,549.862,570.61,526.089,540.852,186.97,174.817,316.291,269.255,209.303,219.5,234.386,317.527,220.372,180.8935,560.236,214.4015
8,232.913,207.8,268.3,230.802,549.862,570.467,526.089,540.852,186.97,174.731,316.291,269.255,209.303,219.439,234.386,317.527,220.3565,180.8505,560.1645,214.371
9,232.913,207.553,268.3,230.802,549.862,570.423,526.089,540.852,186.97,174.576,316.322,269.255,209.226,219.421,234.367,317.527,220.233,180.773,560.1425,214.3235
10,232.132,207.5,268.393,229.471,549.831,570.423,526.089,540.852,186.932,173.565,316.376,268.832,209.303,219.317,234.367,317.527,219.816,180.2485,560.127,214.31
11,230.153,205.914,268.468,227.974,549.227,570.382,525.866,540.852,186.858,173.069,316.376,268.832,209.738,218.728,234.057,317.527,218.0335,179.9635,559.8045,214.233
12,228.404,204.727,268.651,225.459,549.151,570.291,526.155,540.852,186.957,172.45,316.376,268.5,209.738,218.704,234.057,317.527,216.5655,179.7035,559.721,214.221
13,228.184,204.569,268.666,224.538,549.104,570.22,526.044,540.852,186.874,172.45,316.211,268.26,209.67,218.463,234.057,317.527,216.3765,179.662,559.662,214.0665
14,228.184,204.081,268.772,224.027,549.151,570.191,525.645,540.852,186.71,172.42,316.196,268.707,209.67,218.704,233.519,317.527,216.1325,179.565,559.671,214.187
15,228.184,203.916,268.778,223.857,549.151,570.187,525.962,540.852,186.703,172.325,316.196,268.424,209.575,218.128,233.475,317.527,216.05,179.514,559.669,213.8515
16,229.719,203.916,268.94,219.745,549.424,570.187,526.044,540.852,186.368,172.363,316.211,267.711,209.442,218.089,233.475,317.527,216.8175,179.3655,559.8055,213.7655
17,229.743,204.081,268.986,219.557,549.462,570.187,526.006,540.852,186.015,172.363,316.196,267.711,209.025,218.089,233.179,317.527,216.912,179.189,559.8245,213.557
18,229.799,204.081,269.038,219.557,549.808,570.312,525.962,540.852,185.652,172.325,316.431,261.421,209.025,218.089,233.105,317.527,216.94,178.9885,560.06,213.557
19,229.799,203.943,269.05,219.745,550.068,570.312,525.962,540.852,185.524,172.183,316.484,257.697,209.025,218.089,232.939,317.527,216.871,178.8535,560.19,213.557
20,229.719,203.943,269.07,219.745,550.187,570.627,525.243,540.852,184.748,172.183,316.484,256.912,209.025,217.975,231.536,317.527,216.831,178.4655,560.407,213.5
21,229.519,203.832,269.091,219.557,550.187,570.312,525.243,540.852,184.728,172.18,316.4,256.765,208.992,218.31,231.536,317.527,216.6755,178.454,560.2495,213.651
22,229.515,203.503,269.07,219.273,550.187,570.186,525.243,540.852,184.64,171.85,316.498,254.854,208.992,218.31,231.536,317.527,216.509,178.245,560.1865,213.651
23,229.501,203.354,269.07,218.874,550.187,570.186,525.334,540.852,184.562,171.85,316.4,254.854,208.992,218.391,231.723,317.527,216.4275,178.206,560.1865,213.6915
24,229.501,203.229,269.163,218.776,550.141,570.229,525.389,540.852,184.562,171.85,316.4,254.854,208.992,218.395,231.823,317.527,216.365,178.206,560.185,213.6935
25,229.515,203.214,269.163,218.776,550.141,570.229,525.389,540.852,184.562,171.963,316.376,254.859,210.554,219.582,231.823,317.527,216.3645,178.2625,560.185,215.068
26,229.519,203.214,269.162,218.865,550.141,570.229,525.334,540.852,184.562,171.963,316.376,254.859,211.237,219.793,231.723,317.527,216.3665,178.2625,560.185,215.515
27,229.547,203.229,269.162,218.776,550.141,570.229,525.249,540.852,184.132,171.993,316.376,254.906,211.28,219.793,231.552,317.527,216.388,178.0625,560.185,215.5365
28,229.642,203.735,269.162,218.753,550.12,569.17,524.774,540.852,184.346,171.993,316.333,254.906,211.28,219.793,230.592,317.527,216.6885,178.1695,559.645,215.5365
29,230.043,203.738,269.162,218.633,549.199,568.813,524.294,540.852,184.346,171.993,316.333,254.568,211.237,218.883,230.163,317.527,216.8905,178.1695,559.006,215.06
30,230.164,203.739,269.252,218.379,549.144,568.724,518.833,540.852,183.957,171.984,316.318,254.532,210.74,218.707,229.171,317.527,216.9515,177.9705,558.934,214.7235
31,230.217,204.016,269.278,218.379,549.144,568.624,518.667,540.852,184.16,171.984,316.336,254.54,210.491,218.382,226.706,317.527,217.1165,178.072,558.884,214.4365
32,230.302,204.043,269.278,218.381,549.144,568.624,516.419,540.852,184.346,171.984,316.336,254.54,210.431,218.662,226.706,317.527,217.1725,178.165,558.884,214.5465
33,230.737,204.043,269.278,218.379,548.906,568.624,516.419,540.852,184.484,171.984,316.34,254.568,210.431,218.662,226.423,317.527,217.39,178.234,558.765,214.5465
34,230.919,204.093,269.19,218.381,548.906,569.062,516.419,540.852,184.16,172.108,316.336,254.54,210.431,218.392,226.706,317.527,217.506,178.134,558.984,214.4115
35,230.737,204.23,269.053,218.899,549.288,569.591,516.44,540.852,184.161,172.108,316.336,254.631,210.742,218.662,226.92,317.527,217.4835,178.1345,559.4395,214.702
36,230.391,204.242,268.995,219.576,549.861,570.042,516.559,540.852,184.489,172.138,316.419,255.248,211.036,218.662,226.94,317.527,217.3165,178.3135,559.9515,214.849
37,230.431,204.242,268.995,221.178,550.469,570.536,523.921,540.852,184.489,172.108,316.419,255.248,211.22,218.392,227.839,317.527,217.3365,178.2985,560.5025,214.806
38,230.431,204.242,268.995,221.178,550.751,570.64,524.521,540.852,184.161,172.088,316.441,255.588,211.333,218.392,227.839,317.527,217.3365,178.1245,560.6955,214.8625
39,230.431,204.242,269.043,221.178,550.97,570.902,524.526,540.852,184.161,172.088,316.482,255.624,211.333,218.679,227.839,317.527,217.3365,178.1245,560.936,215.006
40,230.683,204.606,269.043,220.861,551.085,570.995,524.679,540.852,184.099,172.088,316.482,255.743,211.333,218.679,226.559,317.527,217.6445,178.0935,561.04,215.006
41,230.683,204.687,269.052,220.651,551.223,571.508,530.521,540.852,184.099,172.088,316.469,255.743,211.333,218.826,226.559,317.527,217.685,178.0935,561.3655,215.0795
42,230.683,204.687,269.086,220.488,551.27,572.654,531.515,540.852,184.099,172.202,316.441,255.911,211.318,219.116,226.559,317.527,217.685,178.1505,561.962,215.217
43,230.518,204.606,269.096,220.39,551.64,572.654,531.515,540.852,184.428,172.202,316.42,255.911,211.014,219.116,226.914,317.527,217.562,178.315,562.147,215.065
44,230.498,204.533,269.114,220.39,551.666,572.654,531.959,540.852,184.428,172.099,316.42,256.742,210.42,219.116,226.914,317.527,217.5155,178.2635,562.16,214.768
45,230.128,204.526,269.172,220.617,551.666,572.654,532.159,540.852,184.428,172.108,316.42,256.742,210.159,219.116,226.914,317.527,217.327,178.268,562.16,214.6375
46,230.408,204.526,269.114,220.301,551.93,572.654,532.159,540.852,184.32,172.099,316.43,256.899,209.297,219.066,226.902,317.527,217.467,178.2095,562.292,214.1815
47,230.408,204.195,269.096,220.301,552.44,572.696,534.056,540.852,183.854,171.881,316.491,256.943,206.25,219.066,226.411,317.527,217.3015,177.8675,562.568,212.658
48,230.408,204.195,268.917,220.274,554.865,575.463,539.885,540.852,183.827,171.461,316.497,259.45,205.749,219.33,226.158,317.527,217.3015,177.644,565.164,212.5395
49,231.272,204.551,268.848,219.74,555.863,576.94,540.666,540.852,183.513,171.374,316.622,260.856,205.063,219.462,225.583,317.527,217.9115,177.4435,566.4015,212.2625
50,231.285,204.579,268.825,219.598,556.825,578.977,545.874,540.852,183.407,171.321,316.622,263.249,205.063,219.793,224.863,317.527,217.932,177.364,567.901,212.428
51,231.701,204.623,268.743,219.598,556.903,579.037,545.936,540.852,183.396,171.205,316.491,263.585,205.063,219.793,224.863,317.527,218.162,177.3005,567.97,212.428
52,231.765,204.748,268.743,219.598,557.168,579.954,547.522,540.852,182.303,171.205,316.124,270.004,207.858,219.793,224.863,317.527,218.2565,176.754,568.561,213.8255
53,231.907,204.748,268.286,224.589,556.903,579.954,549.075,540.852,181.854,170.794,315.798,274.563,209.273,219.893,225.395,317.527,218.3275,176.324,568.4285,214.583
