frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,256.566,223.639,298.501,290.856,526.954,558.946,507.949,505.05,176.921,179.898,341.777,346.277,185.016,187.233,292.613,283.331,240.1025,178.40949999999998,542.95,186.1245
1,256.566,223.639,298.541,290.856,526.954,558.963,507.949,505.05,177.6,179.918,343.469,348.252,185.221,187.392,292.613,283.331,240.1025,178.75900000000001,542.9585,186.3065
2,256.566,223.639,298.541,291.661,526.954,558.994,507.949,505.05,177.6,180.75,344.074,348.294,187.726,187.424,292.758,283.331,240.1025,179.175,542.9739999999999,187.575
3,256.474,223.616,298.501,291.727,526.953,558.963,507.928,505.05,176.921,181.292,344.074,348.294,187.726,187.424,292.758,283.331,240.04500000000002,179.10649999999998,542.958,187.575
4,254.269,222.743,298.541,291.304,526.735,558.946,507.325,505.05,176.734,180.702,344.074,348.252,187.75,187.424,292.613,283.331,238.506,178.71800000000002,542.8405,187.587
5,253.776,222.209,298.203,291.877,526.009,558.498,507.009,505.05,175.424,180.702,341.676,347.628,187.762,187.86,292.536,283.331,237.9925,178.063,542.2535,187.811
6,251.494,220.806,297.3,291.877,525.966,558.414,506.871,505.05,174.868,180.702,338.951,346.169,187.943,188.091,291.669,283.331,236.15,177.785,542.19,188.017
7,250.346,218.822,296.777,291.715,525.334,557.313,506.725,505.05,174.868,179.647,336.962,345.502,187.943,188.812,291.669,283.331,234.584,177.2575,541.3235,188.3775
8,250.289,218.15,296.777,291.67,525.096,557.267,506.588,505.05,174.868,179.415,336.917,345.362,188.529,189.321,291.33,283.331,234.21949999999998,177.1415,541.1815,188.925
9,250.234,218.098,296.777,291.67,525.096,557.259,506.564,505.05,174.67,179.366,336.623,345.362,188.59,189.501,291.33,283.331,234.166,177.018,541.1775,189.0455
10,250.154,217.06,296.756,291.497,525.096,556.973,506.553,505.05,174.868,179.345,336.772,344.632,189.373,189.531,291.33,283.331,233.607,177.10649999999998,541.0345,189.452
11,249.645,216.511,296.486,290.974,526.248,556.824,499.764,505.05,174.731,179.165,336.772,344.632,190.309,189.68,290.667,283.331,233.078,176.94799999999998,541.5360000000001,189.99450000000002
12,248.552,215.804,296.155,292.801,526.248,556.795,499.372,505.05,174.67,177.93,336.772,342.66,191.232,190.532,289.96,283.331,232.178,176.3,541.5215000000001,190.882
13,248.245,215.804,296.155,292.801,526.248,555.869,498.7,505.05,174.233,177.76,336.819,340.688,191.708,191.398,289.96,283.331,232.0245,175.9965,541.0585000000001,191.553
