frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,262.646,231.245,293.368,286.019,535.246,567.834,499.851,487.773,178.032,182.484,336.822,344.902,183.937,187.046,324.321,302.707,246.9455,180.258,551.54,185.4915
1,262.646,231.245,293.368,290.656,535.474,567.94,499.852,487.773,178.032,183.889,336.843,344.911,184.408,187.046,324.62,303.201,246.9455,180.96050000000002,551.7070000000001,185.72699999999998
2,262.707,231.245,293.368,290.738,537.353,568.549,499.852,487.798,178.032,183.889,337.214,345.105,186.247,187.189,324.64,303.201,246.976,180.96050000000002,552.951,186.71800000000002
3,262.646,231.241,293.345,290.803,537.353,568.752,499.851,487.773,177.958,182.484,336.843,344.934,186.247,187.189,324.64,303.228,246.94350000000003,180.221,553.0525,186.71800000000002
4,262.646,229.442,292.726,291.111,537.37,568.752,499.671,487.754,177.816,181.49,336.822,344.92,186.247,187.698,324.62,303.228,246.044,179.65300000000002,553.0609999999999,186.97250000000003
5,262.639,228.092,291.696,291.306,537.637,568.752,499.671,487.688,177.287,180.971,336.843,344.934,184.595,187.724,324.398,303.06,245.3655,179.12900000000002,553.1945,186.15949999999998
6,262.624,227.812,289.414,291.306,538.445,568.98,499.671,487.688,177.287,180.971,336.252,345.257,184.595,187.724,324.181,303.039,245.21800000000002,179.12900000000002,553.7125000000001,186.15949999999998
7,261.232,227.602,289.229,291.306,538.503,569.143,499.879,487.452,177.287,180.971,335.359,345.278,184.595,187.698,323.824,303.027,244.41700000000003,179.12900000000002,553.8230000000001,186.1465
8,261.777,227.797,289.229,291.306,538.545,568.98,500.071,487.452,177.509,180.929,335.359,345.33,183.949,187.154,323.514,303.001,244.78699999999998,179.219,553.7625,185.5515
9,261.777,227.777,289.414,291.424,538.568,569.076,500.071,487.692,177.556,180.929,336.288,345.33,184.709,187.075,323.512,302.928,244.777,179.2425,553.822,185.892
10,261.777,227.797,289.292,291.872,538.545,569.076,500.227,487.789,178.334,181.279,335.566,345.33,184.727,187.075,323.389,302.85,244.78699999999998,179.8065,553.8105,185.901
