frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,276.9195,168.597,334.663,300.941,315.69,315.568,565.5165,155.9485,564.576,285.414,565.026,284.048,291.605,262.234,551.783,579.25,174.133,163.061,155.673,156.224
1,277.438,168.629,335.447,301.636,315.803,315.568,565.878,156.0035,572.236,291.379,565.026,284.069,291.984,262.892,552.048,579.708,174.147,163.111,155.688,156.319
2,277.443,168.716,335.447,301.893,315.803,315.568,568.584,156.066,572.271,291.382,565.026,284.543,291.994,262.892,556.212,580.956,174.163,163.269,155.813,156.319
3,277.443,168.852,335.479,301.902,315.803,315.568,568.592,155.956,572.271,293.999,565.019,284.543,291.994,262.892,556.219,580.965,174.435,163.269,155.688,156.224
4,277.4235,168.852,335.543,301.994,315.905,315.568,568.9175,156.0035,572.465,299.639,564.775,290.554,291.994,262.853,556.306,581.529,174.435,163.269,155.688,156.319
5,278.3435,169.058,335.543,301.994,315.88,315.555,568.9175,156.027,581.587,300,564.775,290.787,292.173,264.514,556.306,581.529,174.435,163.681,155.813,156.241
6,278.355,169.1845,335.479,301.994,315.763,315.651,568.9175,156.0745,581.665,300.291,564.775,290.787,292.196,264.514,556.306,581.529,174.435,163.934,155.908,156.241
7,278.5205,169.134,335.479,301.732,315.347,315.813,568.75,156.1835,581.974,300.291,565.066,290.682,292.22,264.821,556.263,581.237,174.086,164.182,155.944,156.423
8,278.5245,169.01,335.277,301.708,315.768,315.811,568.75,156.3325,581.974,300.291,565.066,290.755,292.22,264.829,556.263,581.237,174.086,163.934,156.242,156.423
9,278.5125,168.8705,335.277,301.548,315.768,315.811,568.75,156.3235,581.665,300.291,565.066,290.755,292.196,264.829,556.263,581.237,174.06,163.681,156.406,156.241
10,278.5125,169.134,335.238,301.548,315.352,315.811,569.5565,156.3025,581.358,300.125,564.728,290.682,292.196,264.829,556.592,582.521,174.086,164.182,156.406,156.199
11,278.5205,169.0565,335.234,301.214,315.768,315.47,570.049,156.231,581.358,300.024,564.276,290.682,292.22,264.821,556.944,583.154,174.144,163.969,156.263,156.199
12,278.9695,169.0565,335.277,301.214,315.768,315.391,570.049,156.231,581.358,299.883,563.943,290.755,293.1,264.839,556.944,583.154,174.144,163.969,156.263,156.199
13,279,169.0865,335.369,301.214,315.469,315.391,570.049,156.411,584.964,299.883,563.935,290.751,293.1,264.9,556.944,583.154,174.102,164.071,156.406,156.416
14,279.0225,169.1835,335.369,301.019,315.469,315.288,569.564,156.3395,584.964,299.759,563.935,290.678,293.1,264.945,556.569,582.559,174.296,164.071,156.263,156.416
15,278.917,169.0865,335.374,301.019,315.728,315.391,569.564,156.3395,585.556,299.883,564.035,290.516,292.934,264.9,556.569,582.559,174.102,164.071,156.263,156.416
16,278.7985,169.0335,335.419,301.347,315.728,315.391,569.564,156.266,585.556,299.883,564.035,290.516,292.652,264.945,556.569,582.559,173.996,164.071,156.184,156.348
17,278.762,168.9915,335.476,301.019,315.968,315.313,569.977,156.1935,585.562,299.745,564.048,290.516,292.563,264.961,556.849,583.105,173.996,163.987,156.161,156.226
18,278.855,168.5875,335.476,300.967,315.968,315.313,570.131,156.176,585.03,293.241,564.515,290.516,292.563,265.147,557.157,583.105,173.549,163.626,156.126,156.226
