frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,488.126,511.733,476.828,445.786,256.297,232.25,268.473,243.195,204.608,208.721,368.081,357.535,228.234,215.921,363.761,362.103,499.9295,206.6645,244.2735,222.0775
1,488.796,511.763,477.007,445.789,256.305,232.503,268.506,243.594,204.62,208.729,368.259,357.589,228.279,215.921,363.778,362.416,500.2795,206.6745,244.404,222.1
2,488.796,511.896,477.009,446.815,256.305,232.503,268.506,243.594,204.773,208.756,368.263,357.949,228.279,215.921,363.938,362.416,500.346,206.7645,244.404,222.1
3,488.796,512.011,477.009,446.815,256.297,232.25,268.506,243.425,204.751,208.756,368.263,357.972,228.234,215.92,363.938,362.227,500.4035,206.7535,244.2735,222.077
4,488.613,512.027,477.009,446.815,254.467,231.889,268.506,243.623,204.704,208.756,368.259,357.972,226.085,215.844,363.813,362.227,500.32,206.73,243.178,220.9645
5,488.613,512.011,477.035,447.175,254.467,231.864,268.5,243.623,204.704,208.756,368.259,357.998,226.085,215.829,363.813,362.227,500.312,206.73,243.1655,220.957
6,488.613,511.96,477.086,447.175,254.035,231.559,268.474,243.625,204.704,208.756,368.29,357.949,225.874,215.555,363.813,362.22,500.2865,206.73,242.797,220.7145
7,488.95,511.96,477.1,447.175,253.729,231.191,268.474,243.633,204.688,208.423,368.283,357.8,225.143,215.498,363.511,362.22,500.455,206.5555,242.46,220.3205
8,488.95,511.889,477.1,447.063,253.594,230.525,268.38,244.042,204.688,208.423,368.283,357.8,225.077,215.479,362.989,360.335,500.4195,206.5555,242.0595,220.278
9,488.95,511.886,477.229,447.063,253.179,229.817,268.357,244.89,204.688,208.423,368.283,357.8,225.077,215.479,362.985,360.335,500.418,206.5555,241.498,220.278
10,488.921,511.886,477.168,447.063,253.179,229.737,268.144,243.633,204.692,208.572,368.167,357.8,224.403,215.407,362.95,360.335,500.4035,206.632,241.458,219.905
11,488.921,511.889,477.168,447.063,253.174,229.502,267.929,243.806,204.692,208.572,368.145,357.8,224.403,215.407,362.713,360.329,500.405,206.632,241.338,219.905
12,488.86,511.918,477.195,445.441,253.126,229.19,267.929,243.879,204.692,208.876,368.145,357.741,224.403,215.407,362.713,360.097,500.389,206.784,241.158,219.905
13,488.921,512.01,477.168,445.508,252.759,227.588,267.929,243.806,204.517,208.876,368.145,357.702,224.487,215.441,362.95,359.775,500.4655,206.6965,240.1735,219.964
14,488.976,512.01,477.168,445.508,252.671,227.588,267.895,243.806,204.517,208.876,368.145,357.649,224.487,215.441,362.969,359.674,500.493,206.6965,240.1295,219.964
15,489.072,512.01,477.141,445.441,252.5,227.588,267.837,243.806,204.517,208.798,368.145,357.612,224.487,215.441,362.969,359.298,500.541,206.6575,240.044,219.964
16,488.976,512.01,477.141,445.441,252.5,227.694,267.895,243.648,204.739,208.812,368.236,357.506,224.341,215.38,363.118,359.298,500.493,206.7755,240.097,219.8605
17,488.976,512.01,477.141,445.37,252.671,227.694,267.895,242.943,204.739,208.798,367.989,357.612,224.341,215.359,363.118,359.298,500.493,206.7685,240.1825,219.85
18,488.839,511.98,477.179,445.27,252.741,227.694,268.093,242.943,204.739,208.726,367.989,357.612,224.248,215.125,363.302,359.082,500.4095,206.7325,240.2175,219.6865
19,488.829,511.98,477.179,445.122,252.741,227.694,268.113,242.88,204.739,208.725,368.236,358.1,224.248,215.318,363.73,359.037,500.4045,206.732,240.2175,219.783
20,488.796,511.911,477.179,445.098,252.77,227.659,268.113,242.88,204.736,208.725,368.24,358.145,224.147,215.125,363.764,359.082,500.3535,206.7305,240.2145,219.636
21,488.794,511.911,477.179,445.122,252.847,227.659,268.113,242.88,204.689,208.725,368.24,358.145,224.147,215.125,363.73,359.082,500.3525,206.707,240.253,219.636
22,488.765,511.98,477.179,445.122,252.77,227.703,267.963,242.88,204.736,208.725,368.24,358.1,223.819,215.159,363.73,359.082,500.3725,206.7305,240.2365,219.489
23,488.345,512.021,477.196,445.323,252.702,227.965,267.898,242.856,204.689,208.725,368.074,357.98,223.819,215.159,363.702,359.361,500.183,206.707,240.3335,219.489
24,488.345,512.212,477.196,445.634,252.847,228.339,267.864,242.774,204.66,208.701,367.926,357.72,224.111,215.159,363.692,359.751,500.2785,206.6805,240.593,219.635
25,488.325,512.258,477.453,445.634,252.893,228.493,267.898,242.785,204.657,208.318,367.722,357.72,224.111,215.422,363.692,360.08,500.2915,206.4875,240.693,219.7665
26,488.325,512.357,477.453,445.634,252.893,228.512,267.898,242.856,204.565,208.318,367.707,357.72,224.111,215.422,363.674,360.08,500.341,206.4415,240.7025,219.7665
27,488.43,512.358,477.467,445.634,253.104,229.05,267.856,242.856,204.538,208.553,367.69,357.98,224.233,215.395,363.407,360.08,500.394,206.5455,241.077,219.814
28,488.447,512.358,477.481,445.559,253.216,229.103,267.856,242.862,204.523,208.334,367.69,357.72,224.381,215.422,363.133,359.368,500.4025,206.4285,241.1595,219.9015
29,488.43,512.376,477.481,445.521,253.443,230.051,267.942,242.872,204.378,208.365,367.571,357.696,224.381,215.422,363.028,359.368,500.403,206.3715,241.747,219.9015
30,488.656,512.647,477.481,445.43,253.673,230.102,267.765,242.921,204.335,208.365,367.571,357.486,224.506,215.424,362.951,359.357,500.6515,206.35,241.8875,219.965
31,488.657,512.714,477.496,445.196,253.76,230.669,267.817,243.14,204.308,208.334,367.545,357.486,224.592,215.427,362.591,359.357,500.6855,206.321,242.2145,220.0095
32,488.657,512.714,477.496,445.43,253.801,231.031,267.942,243.14,204.308,208.191,367.545,357.35,224.592,215.454,362.951,359.41,500.6855,206.2495,242.416,220.023
33,488.657,512.714,477.496,445.43,253.813,231.172,268.044,243.14,204.335,207.969,367.5,357.35,224.588,215.454,362.806,359.493,500.6855,206.152,242.4925,220.021
34,488.692,512.693,477.504,446.802,253.889,231.367,267.986,243.365,204.364,207.969,367.5,357.35,225.142,215.493,362.806,360.369,500.6925,206.1665,242.628,220.3175
