frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,286.4185,170.797,344.185,299.334,325.711,305.178,565.455,161.0665,491.06,299.737,577.07,220.987,299.096,273.741,552.211,578.699,176.272,165.322,164.083,158.05
1,286.5365,170.985,344.185,299.666,325.711,305.466,565.8705,161.2825,491.06,300.492,577.167,220.987,299.326,273.747,552.408,579.333,176.407,165.563,164.153,158.412
2,286.5365,171.1085,344.421,299.79,326.552,306.511,565.901,161.3375,491.06,300.492,577.167,221.194,299.326,273.747,552.455,579.347,176.407,165.81,164.229,158.446
3,286.5605,171.042,344.402,299.79,325.711,306.511,566.1235,161.3625,491.058,300.502,577.578,221.465,299.38,273.741,552.651,579.596,176.274,165.81,164.229,158.496
4,286.5335,171.1735,344.196,299.799,325.675,306.538,568.599,161.698,491.058,300.524,577.578,221.545,299.326,273.741,556.768,580.43,176.537,165.81,164.82,158.576
5,286.3805,170.9175,344.242,299.79,325.675,306.511,569.5945,161.7985,491.058,300.766,577.578,221.545,299.326,273.435,557.27,581.919,176.274,165.561,165.021,158.576
6,286.325,170.7035,344.242,299.693,325.555,305.838,569.703,161.7985,491.065,300.766,577.715,221.545,299.26,273.39,557.473,581.933,176.274,165.133,165.021,158.576
7,286.2935,170.696,344.196,299.617,325.555,305.476,569.8475,161.7355,491.18,300.766,578.443,216.465,299.26,273.327,557.498,582.197,176.555,164.837,165.021,158.45
8,286.2935,170.7375,344.196,299.547,325.555,305.838,569.8475,161.182,491.18,300.718,578.443,216.465,299.26,273.327,557.498,582.197,176.638,164.837,164.216,158.148
9,286.3895,170.7375,344.242,299.305,325.555,305.838,569.7515,161.1725,491.237,300.697,578.443,216.465,299.452,273.327,557.584,581.919,176.638,164.837,164.197,158.148
10,286.2265,170.8475,345.474,299.305,324.442,308.211,569.8905,160.8145,491.237,300.182,577.877,221.435,299.235,273.218,557.584,582.197,176.662,165.033,163.481,158.148
11,286.3195,170.923,345.763,298.899,324.435,308.211,569.761,160.8405,492.684,290.871,577.309,221.863,299.421,273.218,557.619,581.903,176.638,165.208,163.444,158.237
12,286.602,170.8825,345.797,298.669,324.435,308.471,569.868,160.8805,492.695,289.129,577.309,222.205,299.733,273.471,557.833,581.903,176.557,165.208,163.246,158.515
13,286.648,170.6845,345.763,298.669,324.435,308.211,570.302,160.46,493.009,287.998,577.309,222.207,299.825,273.471,557.933,582.671,176.189,165.18,162.313,158.607
14,286.3195,170.6725,345.474,298.669,324.487,307.914,570.393,160.46,493.009,287.694,577.309,222.229,299.421,273.218,557.965,582.821,176.165,165.18,162.313,158.607
15,286.456,170.5685,343.176,300.379,324.868,307.914,570.405,160.414,493.042,287.694,577.345,222.229,299.421,273.491,557.989,582.821,175.957,165.18,162.313,158.515
16,286.366,170.6725,343.176,300.463,325.606,308.471,570.538,160.2075,493.078,287.998,577.477,222.207,299.241,273.491,558.173,582.903,176.165,165.18,162.06,158.355
17,286.366,170.6845,343.176,300.467,325.606,309.537,570.68,160.486,493.158,288.242,577.862,222.027,299.241,273.491,558.017,583.343,176.189,165.18,162.617,158.355
18,286.294,170.7745,345.138,301.357,325.743,309.582,572.168,159.9775,493.329,288.242,578.117,221.802,299.241,273.347,558.331,586.005,176.275,165.274,162.617,157.338
19,286.4225,170.784,345.311,301.357,325.856,309.711,572.269,159.553,493.356,288.242,578.141,221.761,299.498,273.347,558.342,586.196,176.294,165.274,162.06,157.046
20,286.444,170.784,345.347,301.357,326.417,309.882,572.423,159.553,493.356,288.25,578.117,221.761,299.611,273.277,558.665,586.181,176.294,165.274,162.06,157.046
21,286.404,170.7245,345.311,302.443,327.527,310.205,572.4845,159.604,493.346,287.885,578.141,221.802,299.611,273.197,558.773,586.196,176.294,165.155,162.162,157.046
22,286.362,170.815,345.138,301.967,327.527,309.882,572.4975,159.604,493.346,287.834,578.413,221.761,299.527,273.197,558.773,586.222,176.356,165.274,162.162,157.046
23,286.315,170.5535,344.817,301.967,327.057,309.711,572.6225,159.937,493.013,287.885,588.167,221.923,299.498,273.132,558.995,586.25,175.992,165.115,162.649,157.225
24,284.9635,170.0535,344.794,301.967,326.748,308.37,572.805,160.701,492.988,287.885,588.167,222.189,299.519,270.408,559.077,586.533,175.992,164.115,164.092,157.31
25,284.732,169.913,344.774,301.919,326.748,308.126,572.869,161.0785,492.904,287.834,588.167,227.36,299.42,270.044,559.092,586.646,175.992,163.834,164.794,157.363
26,284.732,169.872,344.774,301.88,326.748,307.489,572.8615,161.0995,492.857,287.816,582.855,228.713,299.42,270.044,559.077,586.646,175.954,163.79,164.794,157.405
27,284.732,169.802,344.683,301.529,326.748,307.438,572.869,161.1065,492.7,287.777,582.855,228.846,299.42,270.044,559.092,586.646,175.814,163.79,164.794,157.419
28,284.9505,169.7805,344.559,301.518,327.988,306.996,572.8995,161.0795,492.857,287.742,582.855,229.05,299.519,270.382,559.092,586.707,175.879,163.682,164.665,157.494
29,285.1155,169.8345,344.683,301.518,327.988,306.996,573.321,162.866,492.904,287.742,582.855,229.195,299.651,270.58,559.337,587.305,175.879,163.79,164.665,161.067
