frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,227.951,203.254,271.322,250.205,523.811,546.282,492.7,459.709,187.771,178.373,284.095,297.659,218.79,213.785,343.304,342.824,215.6025,183.072,535.0465,216.2875
1,228.335,203.376,271.534,250.26,523.827,546.286,492.7,460.322,188.29,178.373,284.096,297.659,218.79,213.785,343.304,342.824,215.8555,183.3315,535.0565,216.2875
2,228.438,203.402,271.534,250.271,523.934,546.334,492.7,460.322,188.29,178.373,284.13,297.924,218.79,213.785,343.87,343.207,215.92,183.3315,535.134,216.2875
3,228.695,203.402,271.322,250.26,524.131,546.286,492.674,460.163,188.29,178.364,284.201,297.924,215.911,213.762,343.87,342.908,216.0485,183.327,535.2085,214.8365
4,228.695,203.481,271.247,250.271,524.183,546.286,492.674,460.163,187.742,177.856,284.227,297.926,215.819,213.719,343.87,342.908,216.088,182.799,535.2345,214.769
5,228.695,203.497,271.247,250.397,524.366,546.689,492.674,460.163,187.694,177.844,284.227,297.98,215.814,213.706,343.87,343.207,216.096,182.769,535.5275,214.76
6,228.541,203.402,271.215,250.397,524.389,546.689,492.448,460.163,187.694,177.739,284.227,297.991,215.671,213.677,343.96,343.207,215.9715,182.7165,535.539,214.674
7,228.541,203.376,271.215,250.384,524.366,546.556,492.448,460.155,187.694,177.804,284.188,298.192,215.671,213.677,344.051,342.908,215.9585,182.749,535.461,214.674
8,228.541,203.614,271.104,250.384,524.412,546.689,492.463,460.19,187.694,177.739,284.159,298.192,215.547,213.508,343.96,342.678,216.0775,182.7165,535.5505,214.5275
9,229.102,203.614,271.021,250.384,524.412,546.988,492.463,460.273,187.694,177.739,284.159,298.192,215.533,213.497,343.661,342.678,216.358,182.7165,535.7,214.515
10,229.346,203.614,271.021,250.384,524.564,546.661,492.463,460.648,187.799,177.739,284.138,298.171,215.481,213.451,343.287,342.678,216.48,182.769,535.6125,214.466
11,229.64,203.72,271.021,250.339,524.564,546.661,492.798,460.648,187.309,177.425,284.159,298.171,215.319,213.055,343.287,342.553,216.68,182.367,535.6125,214.187
12,229.64,203.849,271.088,250.339,524.616,546.661,492.882,460.648,187.309,177.421,284.219,298.171,215.282,212.931,343.287,342.04,216.7445,182.365,535.6385,214.1065
13,229.609,203.849,271.088,250.107,524.616,546.128,493.06,460.645,187.403,177.425,284.224,298.198,214.227,211.953,343.456,342.04,216.729,182.414,535.372,213.09
14,229.772,203.924,271.219,250.107,524.453,545.751,493.07,460.629,187.541,177.568,284.285,298.198,213.6,211.769,343.521,341.489,216.848,182.5545,535.102,212.6845
15,229.851,203.962,271.256,250.103,524.451,545.252,493.07,460.559,187.466,177.471,284.413,298.205,213.439,211.769,343.521,341.489,216.9065,182.4685,534.8515,212.604
16,229.937,203.962,271.297,250.103,523.296,544.179,493.06,460.304,187.466,177.471,284.524,298.205,213.101,211.696,343.521,341.489,216.9495,182.4685,533.7375,212.3985
17,230.034,203.835,271.256,250.107,523.296,544.179,492.861,460.18,187.466,177.537,284.524,298.403,212.893,211.696,343.521,341.707,216.9345,182.5015,533.7375,212.2945
18,230.143,203.697,271.256,250.15,523.296,544.179,492.559,460.18,187.28,177.537,284.576,298.53,212.273,211.696,343.591,341.925,216.92,182.4085,533.7375,211.9845
19,230.255,203.697,271.226,250.278,523.439,544.537,488.984,460.27,187.114,177.537,284.576,298.585,211.65,211.696,344.571,342.486,216.976,182.3255,533.988,211.673
20,230.143,203.674,271.043,250.382,523.531,544.865,488.984,460.304,186.924,177.537,284.592,298.585,210.936,211.425,344.615,342.486,216.9085,182.2305,534.198,211.1805
21,230.143,203.674,271.008,250.382,523.531,544.865,488.984,460.27,186.924,177.539,284.592,298.585,210.812,211.326,344.744,342.441,216.9085,182.2315,534.198,211.069
22,230.124,203.674,271.043,250.382,523.439,545.08,489.073,460.27,186.924,177.656,284.592,298.585,209.569,210.734,344.744,342.441,216.899,182.29,534.2595,210.1515
23,230.057,203.674,271.043,250.382,523.068,545.273,489.073,460.21,186.924,177.656,284.535,298.585,208.919,210.407,344.615,342.254,216.8655,182.29,534.1705,209.663
24,230.057,203.674,271.323,250.382,522.992,545.72,489.111,460.156,186.924,177.802,284.748,298.605,207.846,209.861,344.615,341.767,216.8655,182.363,534.356,208.8535
25,230.066,203.69,271.853,249.846,521.898,545.72,489.111,460.147,186.858,177.841,284.748,298.605,207.113,209.345,344.53,341.767,216.878,182.3495,533.809,208.229
26,229.865,203.674,271.853,250.607,521.898,545.72,492.724,459.975,186.858,177.802,284.539,298.531,207.105,209.326,343.918,341.693,216.7695,182.33,533.809,208.2155
27,230.066,203.69,272.49,250.517,521.898,545.72,492.724,459.957,186.858,177.777,289.047,298.531,206.837,209.29,343.641,341.767,216.878,182.3175,533.809,208.0635
28,230.082,203.772,272.49,249.824,521.945,545.844,492.771,459.897,187.197,177.802,289.047,298.893,206.609,208.912,343.641,341.915,216.927,182.4995,533.8945,207.7605
29,230.217,203.772,272.044,250.168,522.407,545.584,492.771,459.706,187.206,177.879,288.459,298.696,206.599,208.764,343.918,341.915,216.9945,182.5425,533.9955,207.6815
30,230.38,203.795,272.044,250.168,522.417,545.584,492.914,459.706,187.258,177.803,288.459,298.696,206.215,208.307,343.918,341.915,217.0875,182.5305,534.0005,207.261
31,230.38,203.795,272.459,249.825,522.609,545.788,492.94,459.897,187.436,177.803,289.047,298.893,206.11,208.098,343.641,341.915,217.0875,182.6195,534.1985,207.104
32,230.266,203.7,272.044,249.825,522.664,545.788,493.082,459.706,187.557,177.803,288.459,298.893,206.11,208.072,343.35,341.884,216.983,182.68,534.226,207.091
33,230.266,203.695,272.117,250.168,522.728,545.788,493.082,459.875,187.595,177.6,289.244,298.696,206.064,208.016,343.224,341.622,216.9805,182.5975,534.258,207.04
34,230.266,203.7,272.117,249.887,522.732,545.874,493.082,459.875,187.621,177.6,289.276,298.998,206.11,207.791,343.224,341.622,216.983,182.6105,534.303,206.9505
35,230.266,203.623,271.801,250.252,522.758,546.187,493.082,459.875,187.827,177.6,289.276,298.709,206.079,207.791,343.224,341.045,216.9445,182.7135,534.4725,206.935
36,230.209,203.623,271.462,250.252,522.963,546.187,492.934,459.875,187.878,177.974,289.148,298.709,206.079,207.791,343.347,341.045,216.916,182.926,534.575,206.935
37,230.209,203.711,271.462,249.887,522.969,546.187,492.934,460.006,187.99,177.974,289.148,299.136,205.899,207.791,343.527,341.094,216.96,182.982,534.578,206.845
38,230.208,203.711,271.397,249.633,523.05,546.328,492.945,460.006,188.111,178.001,289.148,299.206,206.079,207.954,343.527,341.045,216.9595,183.056,534.689,207.0165
39,230.132,203.716,271.303,249.506,523.018,546.06,493.006,460.049,187.99,177.974,289.148,299.206,205.935,207.954,343.379,341.094,216.924,182.982,534.539,206.9445
40,229.947,203.716,271.397,249.506,523.018,546.06,492.945,460.006,188.023,177.974,289.581,299.288,205.935,207.774,343.491,341.317,216.8315,182.9985,534.539,206.8545
41,229.87,203.618,271.397,249.633,523.05,546.782,492.945,460.049,187.99,177.836,289.587,299.288,205.935,207.774,343.491,341.317,216.744,182.913,534.916,206.8545
42,229.763,203.618,271.402,249.697,523.267,546.782,492.908,460.049,187.683,178.064,289.961,299.288,205.981,207.935,343.491,341.032,216.6905,182.8735,535.0245,206.958
43,229.637,203.53,271.835,249.947,523.324,546.311,492.908,460.248,187.63,177.788,290.347,299.149,205.935,207.935,343.524,340.635,216.5835,182.709,534.8175,206.935
44,229.637,203.53,271.835,249.947,523.354,546.876,492.908,460.248,187.257,177.788,290.347,299.129,205.927,207.935,343.524,340.475,216.5835,182.5225,535.115,206.931
45,229.637,203.53,271.939,249.947,523.527,546.876,492.992,460.248,187.219,177.667,290.347,299.12,205.819,207.935,343.567,340.475,216.5835,182.443,535.2015,206.877
46,229.669,203.661,271.835,249.75,523.527,546.526,493.083,460.248,187.257,177.667,290.594,299.12,205.771,207.768,343.524,340.635,216.665,182.462,535.0265,206.7695
47,229.669,203.724,271.939,249.75,523.595,546.85,493.083,460.112,187.257,177.667,289.968,298.805,205.746,207.766,343.524,341.141,216.6965,182.462,535.2225,206.756
48,229.669,203.742,271.939,249.75,523.595,546.85,493.083,459.959,187.66,177.43,289.968,298.805,205.636,207.585,343.567,341.141,216.7055,182.545,535.2225,206.6105
49,229.539,203.742,272.09,249.915,523.527,546.551,488.128,459.955,187.66,177.43,290.628,298.805,205.56,207.568,344.657,341.141,216.6405,182.545,535.039,206.564
50,229.539,203.742,272.09,249.915,523.595,546.551,488.128,459.946,187.818,177.638,290.628,299.165,205.56,207.471,344.748,341.141,216.6405,182.728,535.073,206.5155
51,229.539,203.598,272.09,249.915,523.509,546.551,488.128,459.832,187.887,177.638,290.796,299.17,205.481,207.452,344.748,341.141,216.5685,182.7625,535.03,206.4665
52,229.539,203.598,272.491,249.915,523.509,546.44,488.128,459.832,187.818,177.441,290.796,299.17,205.481,207.269,344.748,341.262,216.5685,182.6295,534.9745,206.375
53,229.458,203.598,272.491,249.935,523.482,546.336,488.289,459.832,187.991,177.441,290.796,299.165,205.481,207.269,344.657,341.581,216.528,182.716,534.909,206.375
54,229.458,203.582,272.044,249.714,523.482,546.137,488.312,459.899,187.991,177.441,290.796,298.947,205.624,207.269,344.154,342.369,216.52,182.716,534.8095,206.4465
55,229.458,203.546,272.044,249.742,523.474,545.714,492.628,464.029,187.991,177.267,290.796,298.917,205.645,207.562,343.993,342.646,216.502,182.629,534.594,206.6035
56,229.378,203.645,272.013,249.816,523.474,545.714,488.289,464.483,187.991,177.267,290.94,298.917,205.649,207.78,344.06,342.369,216.5115,182.629,534.594,206.7145
57,229.378,203.645,272.005,249.742,523.421,545.714,488.289,464.561,188.137,177.267,291.392,298.773,205.823,207.871,343.92,342.369,216.5115,182.702,534.5675,206.847
58,229.01,203.439,271.921,249.714,523.421,546.112,493.431,465.802,188.137,177.214,291.556,298.917,205.834,207.962,343.92,341.354,216.2245,182.6755,534.7665,206.898
59,228.924,203.324,271.921,249.404,523.421,546.358,493.431,466.228,188.137,177.214,291.606,298.931,205.898,207.792,344.06,341.212,216.124,182.6755,534.8895,206.845
60,228.924,203.108,272.005,249.404,523.381,546.358,488.154,466.228,187.923,177.214,291.606,299.022,206.013,207.792,345.571,340.968,216.016,182.5685,534.8695,206.9025
61,228.861,203.078,271.92,249.404,523.376,546.116,488.154,466.228,187.895,177.173,291.556,299.16,206.025,207.988,345.981,340.968,215.9695,182.534,534.746,207.0065
62,228.581,203.078,272.04,249.404,523.376,546.443,487.785,464.377333333333,187.895,177.148,292.495,299.16,206.099,207.988,345.981,327.355333333333,215.8295,182.5215,534.9095,207.0435
63,228.581,203.108,272.04,249.404,523.376,546.443,487.658,462.526666666667,187.872,177.143,291.291,299.197,206.099,207.792,345.981,313.742666666667,215.8445,182.5075,534.9095,206.9455
64,228.581,203.125,271.92,249.322,523.465,546.453,487.658,460.676,187.872,177.148,291.291,299.206,206.139,207.988,345.72,300.13,215.853,182.51,534.959,207.0635
65,228.713,203.286,271.92,249.322,523.465,547.289,487.785,452.473,187.872,177.148,291.432,299.259,206.191,208.013,345.72,299.643,215.9995,182.51,535.377,207.102
