frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,208.4685,201.64499999999998,274.718,336.945,256.624,342.835,513.359,185.3545,461.921,396.102,417.116,370.274,219.934,197.003,494.715,532.003,199.06,204.23,186.369,184.34
1,209.612,201.6865,274.885,337.552,258.829,342.876,513.4300000000001,185.80700000000002,462.169,396.16,417.116,370.274,221.459,197.765,494.828,532.032,199.102,204.271,186.58,185.034
2,210.4065,202.152,274.896,337.552,258.829,342.986,514.3385000000001,185.80700000000002,462.169,396.163,417.43,370.274,222.394,198.419,495.607,533.07,199.878,204.426,186.58,185.034
3,211.3345,202.21749999999997,274.896,337.552,258.829,342.986,513.4300000000001,185.80700000000002,462.169,396.165,417.116,370.222,223.29,199.379,494.828,532.032,200.164,204.271,186.58,185.034
4,211.4675,202.197,275.329,336.828,258.656,342.876,513.359,184.7615,461.919,396.284,417.089,369.956,223.377,199.558,494.715,532.003,200.164,204.23,184.489,185.034
5,212.042,202.188,276.457,336.599,258.656,342.876,512.915,183.9515,461.919,396.629,415.592,366.472,224.526,199.558,494.098,531.732,200.328,204.048,182.869,185.034
6,212.14100000000002,202.273,277.491,335.687,258.656,343.096,512.3795,183.3315,461.829,396.705,415.479,366.38,224.578,199.704,493.509,531.25,200.519,204.027,181.247,185.416
7,212.26600000000002,202.0895,277.539,335.364,258.89,343.096,512.3685,183.151,461.829,396.825,415.317,366.178,224.578,199.954,493.509,531.228,200.747,203.432,180.618,185.684
8,212.26600000000002,201.82350000000002,277.665,335.364,258.969,343.096,511.7665,183.151,461.77,396.825,415.317,365.763,224.578,199.954,493.509,530.024,200.823,202.824,180.618,185.684
9,212.23149999999998,201.82350000000002,277.618,335.364,258.969,343.125,511.7765,182.966,461.77,396.825,415.317,365.763,224.509,199.954,493.529,530.024,200.823,202.824,180.248,185.684
10,211.53750000000002,201.7855,277.618,335.578,258.969,343.206,511.7765,182.91199999999998,460.095,397.719,415.423,365.763,223.401,199.674,493.529,530.024,200.747,202.824,180.385,185.439
11,211.1745,201.586,277.618,335.924,258.24,343.628,511.7205,182.7765,460.064,397.719,416.484,365.927,223.075,199.274,493.529,529.912,200.348,202.824,180.248,185.305
12,210.9505,201.82999999999998,277.618,335.924,257.915,344.086,511.593,182.13600000000002,459.771,397.719,418.657,366.445,222.711,199.19,493.711,529.475,200.166,203.494,179.05,185.222
13,210.2225,201.68900000000002,277.618,335.578,256.383,344.129,511.3695,182.02100000000002,459.59,397.815,419.048,368.997,222.064,198.381,493.815,528.924,199.697,203.681,178.797,185.245
14,210.127,201.64350000000002,277.529,333.389,256.339,344.335,510.8875,182.02100000000002,459.408,397.815,419.499,368.997,221.956,198.298,493.548,528.227,199.793,203.494,178.797,185.245
15,209.724,201.495,277.973,333.157,256.067,344.335,511.156,181.9755,459.367,397.815,420.093,366.445,221.299,198.149,493.548,528.764,199.793,203.197,178.797,185.154
