frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,232.0235,182.195,300.369,344.214,287.524,342.007,522.851,168.84449999999998,479.465,341.194,475.513,327.842,247.747,216.3,507.878,537.824,183.247,181.143,167.256,170.433
1,232.024,182.3535,300.369,344.413,287.524,342.378,522.9145,169.17700000000002,480.283,341.318,475.513,327.943,247.747,216.301,507.878,537.951,183.421,181.286,167.482,170.872
2,232.13150000000002,182.3535,300.374,344.423,287.545,342.418,523.078,170.708,480.357,341.318,475.513,327.943,247.917,216.346,508.205,537.951,183.421,181.286,170.496,170.92
3,232.0465,182.3465,300.374,344.475,287.847,342.378,522.941,170.708,480.357,341.318,475.513,327.98,247.747,216.346,507.924,537.958,183.421,181.272,170.496,170.92
4,232.024,182.439,300.406,344.538,287.847,342.418,522.941,170.7105,480.357,341.318,475.513,327.964,247.747,216.301,507.924,537.958,183.344,181.534,170.501,170.92
5,232.0215,182.257,300.406,344.538,288.12,342.378,522.803,170.67950000000002,480.357,341.173,475.55,327.964,247.742,216.301,507.924,537.682,183.242,181.272,170.496,170.863
6,231.9,182.048,300.627,344.593,288.416,343.249,522.879,170.68200000000002,480.008,341.173,475.713,327.964,247.526,216.274,508.12,537.638,182.832,181.264,170.501,170.863
7,231.89249999999998,182.048,300.913,344.593,288.713,343.249,522.871,170.68200000000002,479.94,341.526,475.717,328.09,247.526,216.259,508.12,537.622,182.832,181.264,170.501,170.863
8,231.89100000000002,182.0095,300.627,344.593,288.713,343.249,522.7909999999999,170.685,479.89,341.526,475.717,328.201,247.609,216.173,508.131,537.451,182.832,181.187,170.507,170.863
9,231.8495,182.2145,300.596,344.337,288.525,342.998,522.7909999999999,170.685,479.737,341.526,475.713,328.201,247.526,216.173,508.131,537.451,183.242,181.187,170.507,170.863
10,231.934,182.321,300.913,344.593,289.009,343.392,522.81,170.691,479.69,341.876,475.633,328.211,247.609,216.259,508.169,537.451,183.424,181.218,170.507,170.875
11,232.003,182.3595,300.708,344.361,288.792,343.48,522.8344999999999,170.651,479.657,342.191,475.5,328.226,247.659,216.347,508.188,537.481,183.501,181.218,170.427,170.875
12,232.08350000000002,182.5145,300.698,344.361,288.559,343.48,522.8865,170.651,479.534,342.191,475.323,328.426,247.659,216.508,508.291,537.482,183.513,181.516,170.427,170.875
13,231.97,182.5205,300.708,344.851,288.792,343.694,522.893,170.70749999999998,479.534,342.106,475.323,328.497,247.432,216.508,508.291,537.495,183.525,181.516,170.427,170.988
14,232.045,182.5205,300.815,344.917,288.799,343.748,522.8985,170.7615,478.362,342.525,475.46,328.549,247.432,216.658,508.291,537.506,183.525,181.516,170.492,171.031
15,231.97,182.483,300.708,344.917,288.792,343.748,522.893,170.79,478.237,342.525,475.46,328.549,247.432,216.508,508.291,537.495,183.501,181.465,170.511,171.069
16,231.97,182.38850000000002,300.698,345.03,288.799,343.748,522.893,170.7945,478.369,342.569,475.557,328.497,247.432,216.508,508.291,537.495,183.312,181.465,170.545,171.044
17,231.983,182.274,300.656,345.03,288.799,343.694,522.912,170.822,478.131,342.908,475.6,328.57,247.432,216.534,508.329,537.495,183.113,181.435,170.6,171.044
18,232.06349999999998,182.1205,300.656,345.03,288.836,343.883,522.9635,170.8155,478.131,342.908,475.665,328.303,247.469,216.658,508.407,537.52,182.936,181.305,170.6,171.031
19,232.1595,182.1205,300.643,344.93,288.463,343.846,522.9449999999999,170.7535,478.174,342.876,475.67,328.272,247.621,216.698,508.407,537.483,182.936,181.305,170.6,170.907
20,232.3095,182.1205,300.643,344.903,288.463,343.846,522.9635,170.7535,478.284,342.605,475.67,328.283,247.621,216.998,508.407,537.52,182.936,181.305,170.6,170.907
21,232.3095,181.9105,300.656,344.863,287.761,343.53,522.9445000000001,170.714,478.284,342.605,475.67,328.283,247.621,216.998,508.369,537.52,182.936,180.885,170.542,170.886
22,232.3385,181.7055,300.707,344.571,287.502,343.846,522.8765,170.71699999999998,478.325,342.596,475.67,328.138,247.663,217.014,508.27,537.483,182.583,180.828,170.527,170.907
23,232.945,181.9515,300.857,344.542,287.502,343.846,522.842,170.7255,479.831,341.457,475.625,328.093,247.666,218.224,508.27,537.414,183.075,180.828,170.527,170.924
24,233.095,182.38400000000001,300.857,344.542,287.502,343.257,522.6279999999999,170.76850000000002,479.831,341.457,475.607,327.939,247.791,218.399,508.27,536.986,183.075,181.693,170.613,170.924
25,233.256,182.1355,300.707,344.571,287.826,343.048,521.853,170.76549999999997,479.831,341.457,475.607,327.755,248.113,218.399,508.363,535.343,182.578,181.693,170.623,170.908
26,233.256,182.1355,300.596,344.598,287.826,342.017,521.855,170.7735,479.315,341.687,475.487,327.755,248.113,218.399,508.367,535.343,182.578,181.693,170.623,170.924
27,233.3055,182.19150000000002,300.573,345.02,288.061,341.885,521.8845,170.769,478.98,341.866,475.483,327.755,248.212,218.399,508.435,535.334,182.69,181.693,170.63,170.908
28,233.3075,181.904,300.5,345.02,288.061,341.854,521.733,170.8145,478.583,342.084,475.423,327.755,248.23,218.385,508.435,535.031,182.69,181.118,170.721,170.908
29,233.2985,181.942,300.5,344.848,288.061,341.885,521.7045,170.8145,478.499,342.084,475.324,327.961,248.212,218.385,508.435,534.974,182.766,181.118,170.721,170.908
30,233.2375,181.8865,300.5,344.848,288.592,342.017,521.57,170.8255,478.397,342.338,475.324,328.062,248.09,218.385,508.435,534.705,182.766,181.007,170.733,170.918
31,233.2375,181.8865,301.029,345.2,288.883,342.107,521.1785,170.827,478.499,342.084,475.294,327.961,248.09,218.385,508.355,534.002,182.766,181.007,170.736,170.918
32,233.159,181.74849999999998,301.24,344.848,288.592,342.357,521.0554999999999,170.9265,478.397,342.338,475.294,328.189,248.09,218.228,508.355,533.756,182.701,180.796,170.785,171.068
33,232.407,181.74849999999998,301.24,345.115,288.592,342.357,521.0554999999999,170.91250000000002,478.397,342.338,475.282,328.189,247.829,216.985,508.355,533.756,182.701,180.796,170.757,171.068
34,232.272,181.74849999999998,301.24,345.115,287.929,342.548,520.9965,170.91250000000002,478.548,342.14,475.294,327.877,247.559,216.985,508.311,533.682,182.701,180.796,170.757,171.068
35,232.7475,181.757,300.843,344.737,287.901,343.126,521.0335,170.9145,478.572,342.14,475.282,327.783,247.559,217.936,508.311,533.756,182.718,180.796,170.785,171.044
36,233.1835,181.803,300.843,344.737,287.901,343.155,521.091,170.89600000000002,478.679,342.366,475.282,327.783,248.139,218.228,508.278,533.904,182.718,180.888,170.757,171.035
