frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,254.322,203.8275,342.813,308.14,318.236,322.533,532.201,163.2815,491.895,330.838,475.047,327.269,270.701,237.943,517.526,546.876,205.104,202.551,164.142,162.421
1,254.8315,204.0205,342.974,308.216,318.517,323.36,532.4125,163.29899999999998,492.034,330.838,475.055,327.269,271.105,238.558,517.806,547.019,205.489,202.552,164.142,162.456
2,254.8345,204.113,343.001,308.233,318.677,323.36,532.5625,163.29899999999998,492.263,330.846,475.358,327.269,271.105,238.564,518.083,547.042,205.489,202.737,164.142,162.456
3,254.67849999999999,204.0385,343.001,308.216,318.677,323.36,532.5585,163.248,492.263,330.838,475.358,327.216,270.793,238.564,518.098,547.019,205.34,202.737,164.075,162.421
4,255.199,204.078,343.039,308.233,318.913,322.547,532.7,163.006,492.263,330.838,475.055,327.216,271.288,239.11,518.358,547.042,205.431,202.725,164.073,161.939
5,254.67849999999999,204.081,343.105,308.423,318.877,322.542,532.9605,162.666,492.105,330.814,475.303,327.216,270.793,238.564,518.71,547.211,205.403,202.759,163.393,161.939
6,254.649,204.087,343.105,308.642,318.677,322.304,533.3430000000001,162.666,492.016,330.844,475.358,327.448,270.793,238.505,519.21,547.476,205.34,202.834,163.393,161.939
7,254.5805,204.1375,343.079,308.664,318.545,322.304,533.428,162.7375,492.016,330.844,475.551,327.563,270.836,238.325,519.21,547.646,205.34,202.935,163.393,162.082
8,254.59449999999998,204.19299999999998,343.215,308.76,318.558,322.304,533.591,162.7185,492.016,331.027,475.303,327.597,270.864,238.325,519.242,547.94,205.403,202.983,163.355,162.082
9,254.5365,204.0435,343.215,308.695,318.558,322.398,533.625,162.88150000000002,492.016,331.128,475.366,327.597,270.836,238.237,519.242,548.008,205.104,202.983,163.657,162.106
10,254.5315,204.0595,343.215,308.695,318.558,322.509,533.6955,162.954,492.045,331.173,475.551,327.905,270.836,238.227,519.251,548.14,205.104,203.015,163.802,162.106
11,254.52049999999997,204.1105,343.215,308.76,318.689,322.509,533.846,163.50349999999997,492.257,331.181,475.402,328.344,270.864,238.177,519.425,548.267,205.196,203.025,164.551,162.456
12,254.37099999999998,204.2,343.215,309.07,318.689,322.509,533.8685,163.8175,492.257,331.29,475.374,328.344,270.662,238.08,519.47,548.267,205.196,203.204,164.551,163.084
13,254.291,204.154,343.014,309.64,318.689,321.966,533.8050000000001,163.922,492.262,331.292,475.374,328.33,270.502,238.08,519.47,548.14,205.104,203.204,164.607,163.237
14,254.30400000000003,204.2,343.014,309.776,318.584,321.966,533.7415000000001,163.99450000000002,492.262,331.292,475.402,328.33,270.528,238.08,519.47,548.013,205.196,203.204,164.635,163.354
15,254.30400000000003,204.3065,343.014,309.776,318.584,321.966,533.8720000000001,163.99450000000002,492.235,331.292,475.374,328.086,270.528,238.08,519.731,548.013,205.428,203.185,164.635,163.354
16,254.293,204.3865,342.753,309.776,318.517,322.339,533.8335,164.2025,492.223,331.292,475.374,328.086,270.528,238.058,519.731,547.936,205.588,203.185,164.837,163.568
17,254.25850000000003,204.45850000000002,343.211,309.139,318.352,322.596,533.7935,164.21550000000002,491.752,331.573,475.266,328,270.598,237.919,519.574,548.013,205.732,203.185,164.863,163.568
18,254.22750000000002,204.442,343.211,308.591,318.349,322.596,533.719,164.374,491.65,331.573,475.251,327.887,270.62,237.835,519.425,548.013,205.734,203.15,165.071,163.677
19,254.31349999999998,204.442,342.934,308.591,318.303,322.686,533.6385,164.3845,491.65,331.573,475.229,327.715,270.837,237.79,519.414,547.863,205.734,203.15,165.136,163.633
20,254.20499999999998,204.418,342.934,308.591,318.282,322.686,533.6385,164.3555,491.65,331.573,475.116,327.621,270.62,237.79,519.414,547.863,205.732,203.104,165.143,163.568
21,254.2165,204.36,343.079,308.644,318.212,322.729,533.562,164.388,491.65,331.313,475.102,327.621,270.598,237.835,519.261,547.863,205.616,203.104,165.143,163.633
22,254.3055,204.28,343.057,308.682,318.212,322.686,533.562,164.388,491.661,331.313,475.102,327.621,270.62,237.991,519.261,547.863,205.465,203.095,165.143,163.633
23,254.38150000000002,204.226,343.079,308.983,317.954,322.687,533.6205,164.202,491.754,331.605,475.116,328.24,270.63,238.133,519.378,547.863,205.465,202.987,165.143,163.261
24,254.603,204.2025,343.243,309.382,317.954,322.726,533.4680000000001,164.0445,491.661,332.039,475.157,328.24,270.63,238.576,519.378,547.558,205.465,202.94,164.868,163.221
25,254.80599999999998,204.2475,343.243,310.402,317.97,322.726,533.2275,163.96949999999998,491.661,332.039,475.209,328.24,270.873,238.739,518.905,547.55,205.616,202.879,164.718,163.221
26,254.8945,204.14049999999997,343.227,310.402,317.995,322.687,532.9585,163.86200000000002,491.862,332.222,475.209,328.24,270.97,238.819,518.61,547.307,205.402,202.879,164.692,163.032
27,254.80599999999998,204.1025,343.227,310.402,317.995,322.687,532.9300000000001,163.8315,488.353,332.907,475.157,328.384,270.873,238.739,518.553,547.307,205.402,202.803,164.631,163.032
28,254.80599999999998,204.0885,343.203,310.18,318.202,321.508,532.8255,163.755,488.353,332.907,475.157,327.6,270.873,238.739,518.488,547.163,205.374,202.803,164.506,163.004
29,254.837,204.0485,343.004,309.993,318.266,321.44,532.8255,163.702,488.353,332.907,475.219,328.033,271.132,238.542,518.488,547.163,205.402,202.695,164.372,163.032
30,254.61649999999997,204.0025,342.898,308.941,318.266,321.262,532.7755,163.6025,487.853,333.622,475.133,328.305,270.691,238.542,518.35,547.201,205.374,202.631,164.105,163.1
31,254.588,203.9375,342.804,308.746,318.255,321.181,532.802,163.6025,487.631,333.771,475.096,328.115,270.638,238.538,518.403,547.201,205.308,202.567,164.105,163.1
32,254.6145,203.97050000000002,342.804,308.746,318.255,321.044,532.719,163.613,487.631,334.251,474.858,328.115,270.691,238.538,518.35,547.088,205.374,202.567,164.136,163.09
