frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,269.607,239.373,283.937,268.332,543.033,568.027,492.754,493.7819751680693,179.886,180.204,327.129,325.111,175.519,180.354,306.565,300.26428344070376,254.49,180.04500000000002,555.53,177.93650000000002
1,269.65,239.373,285.847,268.332,543.087,568.616,492.754,493.7819751680693,180.553,180.317,329.98,325.111,175.523,181.419,306.982,300.26428344070376,254.51149999999998,180.435,555.8515,178.471
2,270.002,239.373,285.847,268.332,543.598,568.616,492.766,493.7819751680693,180.553,180.317,329.98,325.111,175.523,181.419,306.982,300.26428344070376,254.6875,180.435,556.107,178.471
3,270.039,239.373,285.992,268.332,544.036,568.616,492.766,492.6258186386563,180.33,180.248,330.003,325.111,175.525,180.964,306.982,298.24757051913866,254.706,180.289,556.326,178.24450000000002
4,270.039,239.373,285.992,268.332,543.539,568.428,492.773,491.837,180.33,180.248,330.003,325.111,175.525,181.318,306.667,296.848,254.706,180.289,555.9835,178.4215
5,270.515,239.499,284.159,268.332,543.813,568.404,492.835,491.88419592284413,179.868,180.189,326.923,325.111,175.951,181.318,306.368,296.8961578701009,255.007,180.0285,556.1085,178.6345
6,270.85,239.714,284.159,268.332,543.813,568.166,492.977,491.9313918456882,179.782,180.039,326.923,325.111,175.951,180.964,306.215,296.9443157402018,255.282,179.9105,555.9895,178.45749999999998
7,271.137,240.074,284.159,268.332,543.539,568.071,492.977,491.97858776853235,179.34,179.773,326.945,325.111,175.951,180.738,306.215,296.9924736103027,255.6055,179.5565,555.8050000000001,178.34449999999998
8,272.129,241.122,284.121,268.332,543.458,568.071,493.093,492.02578369137643,179.304,179.576,326.945,325.111,175.656,181.242,306.127,297.0406314804036,256.6255,179.44,555.7645,178.449
9,272.147,241.122,284.121,268.332,543.458,568.071,493.126,492.07297961422057,179.34,179.115,326.945,325.111,175.656,181.242,306.116,297.0887893505045,256.6345,179.22750000000002,555.7645,178.449
10,272.356,241.399,284.185,268.332,543.458,568.071,493.126,492.12017553706465,179.266,179.454,326.987,325.111,175.65,181.242,306.127,297.13694722060535,256.8775,179.36,555.7645,178.446
11,273.134,241.399,284.121,268.332,543.733,568.12,493.126,492.1673714599088,179.34,179.454,327.038,325.111,175.656,181.402,306.116,297.18510509070626,257.2665,179.397,555.9265,178.529
12,274.303,242.237,284.185,268.332,543.733,568.208,492.928,492.121,180.235,179.454,327.141,325.111,175.985,181.522,306.116,297.16826823607323,258.27,179.8445,555.9704999999999,178.7535
13,274.323,242.294,284.282,268.332,543.733,568.208,492.868,492.12014104341705,180.746,179.461,327.141,325.111,176.03,181.676,306.972,297.0610472634036,258.3085,180.1035,555.9704999999999,178.853
14,274.54,242.326,284.282,268.332,543.978,568.24,492.868,492.12014104341705,182.088,180.526,327.141,325.111,176.074,181.752,307.452,297.0610472634036,258.433,181.30700000000002,556.1089999999999,178.913
15,274.883,242.354,284.282,268.332,543.599,568.24,492.713,492.0155901052167,182.088,180.526,327.507,325.111,176.074,181.752,307.538,297.0610472634036,258.6185,181.30700000000002,555.9195,178.913
