frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,225.51600000000002,182.2465,291.589,329.015,273.932,340.096,523.3245,206.7485,485.682,301.444,474.147,345.796,238.988,212.044,510.03,536.619,186.732,177.761,205.459,208.038
1,225.51600000000002,184.9305,292.078,329.187,274.289,340.431,523.46,206.794,485.682,301.481,474.292,345.997,238.988,212.044,510.03,536.89,192.1,177.761,205.55,208.038
2,225.68349999999998,185.3825,292.078,329.286,274.289,340.625,523.471,206.872,485.858,301.481,474.365,345.997,238.988,212.379,510.03,536.912,192.1,178.665,205.706,208.038
3,225.5025,185.017,292.022,329.286,274.289,340.629,523.498,206.872,485.682,301.607,474.403,346.046,238.961,212.044,510.03,536.966,192.122,177.912,205.706,208.038
4,225.10500000000002,185.006,292.078,329.286,274.284,340.631,523.498,206.872,485.682,301.645,474.533,346.046,238.216,211.994,510.03,536.966,192.1,177.912,205.706,208.038
5,224.9555,185.184,292.022,329.268,274.204,340.702,523.5415,206.8025,485.682,301.704,474.555,346.113,237.954,211.957,510.117,536.966,191.972,178.396,205.569,208.036
6,224.78699999999998,185.31,292.022,329.268,274.204,340.702,523.6320000000001,206.76100000000002,485.682,301.94,474.526,346.113,237.88,211.694,510.125,537.139,191.955,178.665,205.544,207.978
7,224.643,185.4875,292.211,329.268,274.284,340.702,523.6565,206.83800000000002,485.585,302.244,474.526,346.113,237.851,211.435,510.174,537.139,191.972,179.003,205.544,208.132
8,224.6145,185.753,292.211,329.268,274.35,340.484,523.6565,206.7745,485.682,302.269,474.526,346.031,237.851,211.378,510.174,537.139,191.955,179.551,205.544,208.005
9,224.666,185.84449999999998,292.059,329.268,274.385,340.399,523.657,206.7815,485.585,302.272,474.526,345.977,237.954,211.378,510.138,537.176,191.908,179.781,205.558,208.005
10,225.1445,185.82150000000001,292.211,329.247,274.457,340.399,523.6785,206.872,485.585,302.272,474.526,345.977,238.911,211.378,510.181,537.176,190.403,181.24,205.582,208.162
11,225.75,185.841,292.211,328.965,274.522,340.484,523.6285,206.9275,485.81,302.272,474.638,345.909,239.03,212.47,510.138,537.119,189.908,181.774,205.582,208.273
12,225.7545,186.0495,292.311,328.9,274.675,340.484,523.5275,206.9155,485.888,302.468,474.638,345.668,239.039,212.47,510.138,536.917,189.908,182.191,205.558,208.273
13,225.772,186.093,292.417,328.9,274.675,340.354,523.549,206.89749999999998,485.888,302.468,474.638,345.649,239.074,212.47,510.181,536.917,189.908,182.278,205.522,208.273
14,225.64550000000003,186.65949999999998,292.534,328.9,274.72,340.59,523.5505,206.891,485.914,302.08,474.513,345.649,239.074,212.217,510.184,536.917,191.041,182.278,205.522,208.26
15,225.47199999999998,186.65949999999998,292.534,328.899,274.72,340.354,523.6935,206.891,485.914,302.032,474.459,345.625,239.039,211.905,510.287,537.1,191.041,182.278,205.522,208.26
16,224.99,186.65949999999998,292.534,328.899,274.72,340.354,523.84,206.8785,485.888,302.059,474.281,345.625,238.457,211.523,510.287,537.393,191.041,182.278,205.497,208.26
17,224.44400000000002,186.78500000000003,292.737,328.898,274.6,340.354,523.857,206.8925,486.163,302.059,474.139,345.625,237.653,211.235,510.242,537.472,191.163,182.407,205.497,208.288
18,222.8755,186.78500000000003,292.881,328.762,274.6,340.141,523.8665,207.002,486.366,301.867,474.011,345.664,236.037,209.714,510.242,537.491,191.163,182.407,205.506,208.498
19,222.082,187.4545,292.918,328.685,274.6,339.991,523.889,207.036,486.366,301.867,473.93,345.664,235.906,208.258,510.287,537.491,192.502,182.407,205.497,208.575
20,221.44150000000002,186.7935,292.831,328.731,274.72,339.991,523.961,207.015,486.426,301.867,473.722,345.751,235.776,207.107,510.341,537.581,192.502,181.085,205.455,208.575
21,221.4155,186.7935,292.873,328.728,274.72,339.991,523.961,206.959,486.426,301.867,473.722,345.776,235.724,207.107,510.341,537.581,192.502,181.085,205.414,208.504
22,219.925,185.9075,292.918,328.728,274.727,339.946,523.961,207.015,486.458,301.75,473.722,345.888,232.751,207.099,510.341,537.581,190.73,181.085,205.455,208.575
23,219.851,186.0375,292.918,328.728,274.72,340.399,523.9565,207.015,486.473,301.049,474.155,345.888,232.595,207.107,510.332,537.581,190.73,181.345,205.455,208.575
24,219.894,186.53,293.016,328.731,274.914,340.422,523.7835,207.0515,486.593,301.049,474.343,346.013,232.595,207.193,510.218,537.349,190.73,182.33,205.586,208.517
25,220.48149999999998,186.928,293.062,329.043,275.039,340.43,523.6605,207.0515,486.813,301.096,474.369,346.013,232.595,208.368,510.132,537.189,191.402,182.454,205.586,208.517
26,222.4415,187.938,293.062,329.065,275.039,340.422,523.6605,207.111,486.856,301.096,474.453,346.091,236.325,208.558,510.132,537.189,192.452,183.424,205.586,208.636
27,222.501,187.941,293.104,329.065,275.098,340.437,523.8585,207.142,486.856,301.244,474.386,346.089,236.41,208.592,510.119,537.598,192.454,183.428,205.51,208.774
28,222.62900000000002,187.941,293.104,329.202,275.098,340.599,523.8585,207.113,486.856,301.244,474.386,346.089,236.422,208.836,510.119,537.598,192.454,183.428,205.507,208.719
29,222.526,188.226,292.752,329.082,274.772,340.551,523.905,207.113,486.856,301.096,474.369,345.993,236.422,208.63,510.212,537.598,193.028,183.424,205.507,208.719
30,222.526,188.2625,292.752,329.067,274.668,340.437,523.9680000000001,207.1145,486.696,301.244,474.145,345.899,236.422,208.63,510.212,537.724,193.272,183.253,205.51,208.719
31,222.45600000000002,188.13400000000001,292.752,329.067,274.668,340.437,523.998,207.0675,486.643,301.276,474.145,345.825,236.282,208.63,510.212,537.784,193.272,182.996,205.546,208.589
32,222.24349999999998,188.00799999999998,292.752,329.067,274.635,340.551,524.0705,207.0695,486.643,301.276,474.145,345.825,236.239,208.248,510.224,537.917,193.315,182.701,205.55,208.589
33,222.1705,188.0285,293.061,329.03,274.635,340.316,524.004,207.0695,486.643,301.276,474.145,345.825,236.126,208.215,510.224,537.784,193.356,182.701,205.55,208.589
34,222.161,188.00799999999998,293.49,329.007,274.635,340.105,524.009,207.16649999999998,486.621,301.377,474.145,345.825,236.107,208.215,510.234,537.784,193.315,182.701,205.55,208.783
35,222.161,188.0495,293.49,329.007,274.706,340.316,524.1045,207.2785,486.621,301.377,474.008,345.809,236.107,208.215,510.292,537.917,193.315,182.784,205.612,208.945
36,222.55849999999998,188.04649999999998,293.49,329.007,275.075,340.389,524.0185,207.31900000000002,486.496,301.226,473.707,345.809,236.107,209.01,510.292,537.745,192.554,183.539,205.669,208.969
37,222.6085,188.2715,292.984,329.146,275.269,340.389,524.033,207.32,486.381,301.224,473.61,345.809,236.199,209.018,510.321,537.745,192.242,184.301,205.688,208.952
