frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,226.7945,180.784,308.794,315.341,303.528,328.602,510.318,165.7705,508.384,356.705,433.612,331.302,242.424,211.165,497.233,523.403,180.979,180.589,166.047,165.494
1,226.9805,180.8305,308.794,315.341,303.528,328.614,510.564,166.187,508.386,356.745,433.764,331.303,242.676,211.285,497.403,523.725,181.038,180.623,166.292,166.082
2,227.0115,180.925,308.807,315.341,303.547,328.641,510.7925,166.2015,508.449,357.357,433.767,331.409,242.714,211.309,497.86,523.725,181.179,180.671,166.321,166.082
3,227.0355,181.02300000000002,308.794,315.341,303.547,328.641,510.7935,166.2015,508.506,357.128,434.268,331.303,242.757,211.314,497.862,523.725,181.193,180.853,166.321,166.082
4,227.05450000000002,181.0575,308.794,315.341,303.547,328.9,511.12350000000004,166.231,508.506,356.745,434.185,331.302,242.757,211.352,498.508,523.739,181.369,180.746,166.329,166.133
5,227.37349999999998,181.0575,308.807,315.782,304.188,328.915,511.172,166.9805,508.449,357.128,434.197,331.245,243.373,211.374,498.508,523.836,181.369,180.746,167.395,166.566
6,227.618,181.166,309.542,316.087,304.49,329.016,511.172,167.28300000000002,508.283,357.128,434.197,331.245,243.573,211.663,498.508,523.836,181.369,180.963,167.897,166.669
7,227.77949999999998,181.0685,309.586,316.33,304.49,329.016,510.627,168.2725,508.283,357.044,434.185,331.176,243.896,211.663,497.418,523.836,181.352,180.785,169.876,166.669
8,228.327,181.049,309.879,316.446,304.49,329.433,510.627,168.24900000000002,508.283,357.009,434.185,331.153,244.633,212.021,497.418,523.836,181.352,180.746,169.876,166.622
9,228.423,180.929,310.444,316.446,304.49,329.433,510.6275,168.24900000000002,508.373,357.009,434.163,331.142,244.661,212.185,497.418,523.837,181.251,180.607,169.876,166.622
10,228.423,181.03300000000002,310.444,316.33,304.265,329.488,510.842,166.70600000000002,508.378,356.325,434.163,331.176,244.661,212.185,497.915,523.769,181.352,180.714,167.368,166.044
11,228.793,180.929,309.879,316.33,304.168,329.488,510.842,166.49450000000002,508.378,356.305,434.436,331.176,245.086,212.5,497.915,523.769,181.251,180.607,167.031,165.958
12,228.94600000000003,180.87,309.879,316.146,304.168,329.209,510.842,165.451,508.414,356.158,434.622,331.32,245.086,212.806,497.915,523.769,181.133,180.607,165.89,165.012
13,228.702,180.9125,310.25,315.815,304.168,329.154,510.7225,165.401,508.484,356.158,434.63,331.376,244.582,212.822,497.913,523.532,181.111,180.714,165.826,164.976
14,228.73899999999998,180.978,309.893,316.146,304.073,329.154,510.7225,165.214,508.414,356.131,434.63,331.376,244.582,212.896,497.913,523.532,181.133,180.823,165.824,164.604
15,228.777,180.978,309.893,315.815,304.297,329.154,510.7225,165.0645,508.414,356.039,434.622,331.32,244.658,212.896,497.913,523.532,181.133,180.823,165.627,164.502
16,228.74,181.0105,309.893,315.815,304.387,329.162,510.75399999999996,165.06150000000002,508.486,356.006,434.587,331.205,244.658,212.822,497.924,523.584,181.198,180.823,165.627,164.496
17,228.6325,180.835,309.893,315.895,304.387,329.21,510.79699999999997,165.06150000000002,508.565,356.039,434.352,331.205,244.782,212.483,497.924,523.67,181.198,180.472,165.627,164.496
18,228.6325,180.81650000000002,309.893,315.895,304.471,329.481,511.0425,164.99650000000003,508.565,355.902,434.293,331.192,244.782,212.483,498.186,523.899,181.485,180.148,165.491,164.502
19,228.6325,180.838,310.173,315.886,304.535,329.481,511.15999999999997,164.9935,508.565,355.762,434.156,331.192,244.782,212.483,498.176,524.144,181.528,180.148,165.491,164.496
20,228.31799999999998,180.81650000000002,310.173,315.895,304.535,329.481,511.034,165.007,508.573,355.762,434.156,331.209,244.153,212.483,497.924,524.144,181.485,180.148,165.518,164.496
21,228.2355,180.8785,310.193,316.072,304.471,329.498,511.15999999999997,165.01749999999998,508.593,355.749,434.156,331.405,244.153,212.318,498.176,524.144,181.528,180.229,165.518,164.517
22,228.36,180.895,310.193,316.072,304.471,329.511,511.224,165.471,508.378,355.749,434.611,331.405,244.137,212.583,498.222,524.226,181.532,180.258,166.234,164.708
23,228.47750000000002,180.918,310.193,316.072,304.391,329.525,511.242,165.7945,508.274,355.762,434.7,331.47,244.137,212.818,498.355,524.129,181.578,180.258,166.54,165.049
24,228.5,181.065,309.756,316.072,304.391,329.573,511.195,165.7975,508.593,356.33,434.7,331.637,244.137,212.863,498.4,523.99,181.901,180.229,166.546,165.049
25,228.49349999999998,181.00799999999998,309.884,316.041,304.764,329.8,511.1035,165.7975,508.616,356.33,434.611,331.743,244.124,212.863,498.4,523.807,182.001,180.015,166.546,165.049
26,228.33499999999998,180.6565,309.756,316.033,304.764,329.8,511.14,165.7975,508.623,356.33,434.7,331.743,243.807,212.863,498.473,523.807,182.001,179.312,166.546,165.049
27,228.2715,180.35250000000002,309.884,316.017,304.391,329.719,511.13800000000003,165.8635,508.623,356.33,434.785,331.499,243.68,212.863,498.469,523.807,181.578,179.127,166.6,165.127
28,228.2715,180.56900000000002,309.884,316.033,304.794,329.806,511.1585,165.91,508.623,356.33,434.979,331.6,243.68,212.863,498.4,523.917,182.011,179.127,166.638,165.182
29,228.44650000000001,180.5465,309.884,316.017,304.367,329.719,511.2155,166.0115,508.372,357.093,434.979,331.6,243.68,213.213,498.469,523.962,181.781,179.312,166.646,165.377
30,228.78199999999998,180.7285,309.923,315.742,304.321,329.44,511.33899999999994,166.11450000000002,508.37,357.093,434.979,331.6,244.047,213.517,498.652,524.026,181.781,179.676,166.852,165.377
31,228.95100000000002,180.7285,309.959,315.86,304.317,329.309,511.44950000000006,166.13150000000002,508.252,357.171,434.837,331.62,244.336,213.566,498.81,524.089,181.781,179.676,166.852,165.411
32,228.95100000000002,180.7285,309.923,315.86,304.321,329.309,511.44950000000006,166.13150000000002,508.2,357.366,434.837,331.645,244.336,213.566,498.81,524.089,181.781,179.676,166.852,165.411
33,228.9475,180.4925,310.102,315.86,304.321,329.309,511.44950000000006,166.03300000000002,508.182,357.171,434.837,331.645,244.378,213.517,498.81,524.089,181.647,179.338,166.735,165.331
34,228.973,180.4925,310.143,315.897,304.663,329.434,511.4175,166.03300000000002,508.021,357.171,434.754,331.645,244.429,213.517,498.81,524.025,181.647,179.338,166.735,165.331
35,229.07999999999998,180.16,310.143,315.897,305.081,329.434,511.131,165.878,508.021,357.171,434.754,331.489,244.594,213.566,498.237,524.025,180.982,179.338,166.345,165.411
36,229.63400000000001,180.41500000000002,310.143,315.897,305.197,329.501,511.131,165.615,508.2,356.972,434.673,331.456,244.744,214.524,498.237,524.025,180.982,179.848,166.136,165.094
37,230.12349999999998,180.7615,310.499,315.646,305.197,329.434,511.48749999999995,165.615,508.225,356.875,434.389,331.394,245.504,214.743,498.843,524.132,181.289,180.234,166.136,165.094
38,230.1445,180.816,310.555,315.646,305.173,329.347,511.534,165.8365,508.225,356.387,434.188,331.363,245.546,214.743,498.93,524.138,181.398,180.234,166.136,165.537
39,230.2545,180.69299999999998,310.555,315.646,305.081,329.154,511.554,165.615,508.232,356.042,434.149,331.303,245.642,214.867,498.897,524.211,181.289,180.097,166.136,165.094
40,230.2155,180.69299999999998,310.499,315.646,304.853,329.347,511.51750000000004,165.64350000000002,508.225,356.042,434.042,331.268,245.546,214.885,498.897,524.138,181.289,180.097,166.234,165.053
41,230.2545,180.7475,310.688,315.693,304.853,329.347,511.55600000000004,165.714,508.174,356.128,434.149,331.216,245.642,214.867,498.897,524.215,181.398,180.097,166.375,165.053
