frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,481.906,505.425,469.902,447.698,247.032,220.583,304.737,264.271,203.949,204.932,365.583,358.461,229,218.68,354.634,385.243,493.6655,204.4405,233.8075,223.84
1,482.401,505.727,470.681,447.755,247.049,220.614,304.991,264.601,204.123,204.941,368.65,358.538,229.015,219.25,354.634,385.913,494.06399999999996,204.53199999999998,233.8315,224.1325
2,482.621,505.971,470.705,447.755,247.741,220.683,305.547,264.601,204.13,204.941,369.006,358.569,229.015,219.25,354.634,385.913,494.296,204.5355,234.212,224.1325
3,483.286,505.979,471.275,447.9,247.741,220.786,305.547,264.271,204.18,204.941,369.015,358.662,229.015,219.25,354.602,386.055,494.6325,204.5605,234.26350000000002,224.1325
4,483.286,506.022,471.275,447.9,247.741,220.786,305.547,264.601,204.271,204.941,369.027,358.569,229.015,218.781,354.547,386.055,494.654,204.606,234.26350000000002,223.898
5,483.286,506.037,471.544,447.747,250.086,224.393,305.528,264.601,204.271,205.172,369.027,358.662,229.402,218.204,354.314,386.475,494.6615,204.7215,237.23950000000002,223.803
6,483.286,506.161,471.544,447.449,250.265,224.548,305.346,264.126,204.271,205.172,369.027,358.84,229.573,217.945,354.225,386.475,494.7235,204.7215,237.4065,223.75900000000001
7,483.64,506.328,471.275,447.572,250.285,224.549,305.26,264.126,204.017,205.172,368.845,359.148,229.593,217.897,354.225,386.475,494.984,204.59449999999998,237.417,223.745
8,483.64,506.328,471.544,447.572,250.285,224.549,305.246,264.044,204.015,205.172,368.845,359.148,229.573,217.779,354.225,386.475,494.984,204.5935,237.417,223.676
9,483.912,506.479,471.162,447.572,250.265,224.641,305.161,264.044,204.005,205.172,368.845,359.148,229.573,217.897,354.314,385.793,495.1955,204.5885,237.45299999999997,223.735
10,484.143,506.592,471.136,447.711,250.244,224.549,305.161,264.044,204.005,205.232,368.883,358.919,229.573,217.897,354.473,385.793,495.36749999999995,204.61849999999998,237.3965,223.735
11,484.206,506.679,470.816,447.751,250.244,224.419,305.237,264.192,204.017,205.273,368.895,358.85,229.593,217.897,354.619,386.487,495.4425,204.64499999999998,237.3315,223.745
12,483.912,506.733,470.659,447.78,250.216,224.191,304.919,264.249,204.367,205.391,369.139,358.85,229.614,217.914,354.755,387.328,495.3225,204.879,237.20350000000002,223.764
13,483.912,506.733,470.11,447.78,250.193,224.138,304.919,264.401,204.383,205.582,368.895,358.919,229.71,218.037,354.896,387.276,495.3225,204.98250000000002,237.1655,223.8735
14,484.29,506.849,470.11,447.78,250.169,224.138,304.931,264.471,204.383,205.582,368.895,358.85,229.71,218.295,354.896,387.276,495.5695,204.98250000000002,237.1535,224.0025
15,483.618,506.733,470.11,447.733,250.193,224.138,304.919,264.471,204.367,205.582,368.789,358.747,229.614,218.302,354.79,387.276,495.1755,204.97449999999998,237.1655,223.958
16,483.618,506.733,470.659,447.672,250.169,224.158,304.798,264.613,204.355,205.582,368.789,358.61,229.545,218.458,354.79,387.276,495.1755,204.9685,237.1635,224.0015
17,483.618,506.655,470.964,447.672,250.169,224.225,304.624,264.613,204.267,205.45,368.789,358.61,229.545,218.302,354.908,387.195,495.13649999999996,204.8585,237.197,223.9235
18,483.945,506.849,470.964,447.733,250.221,224.376,304.624,264.698,204.202,205.393,368.789,358.61,229.451,218.295,354.908,387.195,495.397,204.7975,237.2985,223.873
19,483.618,506.859,470.822,448.008,250.302,224.376,304.62,264.698,204.202,205.398,368.812,359.122,229.451,218.106,354.919,387.476,495.2385,204.8,237.339,223.7785
20,483.577,506.859,470.964,448.008,250.221,224.376,304.624,264.844,204.13,205.347,368.872,359.122,229.545,218.106,354.919,387.476,495.21799999999996,204.7385,237.2985,223.82549999999998
21,483.558,506.703,471.422,448.008,250.583,224.376,304.62,264.698,204.141,205.323,368.812,359.122,229.486,218.106,355.089,387.476,495.1305,204.732,237.4795,223.796
22,483.558,506.703,470.935,448.027,250.653,224.087,304.591,264.627,204.202,205.323,368.812,358.702,229.288,218.067,355.089,387.476,495.1305,204.7625,237.37,223.6775
23,483.463,506.703,470.935,448.027,250.653,224.087,304.505,264.319,204.145,205.398,368.953,358.6,229.072,218.067,354.853,387.37,495.08299999999997,204.7715,237.37,223.5695
24,483.139,506.492,470.935,448.225,250.648,223.886,304.173,264.102,204.145,205.325,369.098,358.247,229.235,217.63,354.782,386.686,494.81550000000004,204.735,237.267,223.4325
25,482.923,506.418,470.61,448.225,250.653,223.886,304.086,263.892,204.176,205.351,369.045,358.185,229.076,217.432,354.666,386.525,494.6705,204.7635,237.2695,223.254
26,482.551,506.059,470.61,448.225,250.662,223.886,304.086,263.815,204.176,205.411,369.045,358.185,228.795,217.432,354.666,386.525,494.305,204.7935,237.274,223.1135
27,482.51,506.022,470.61,448.103,250.648,223.886,304.089,263.892,204.145,205.353,369.045,358.247,229.076,217.629,354.782,386.525,494.26599999999996,204.74900000000002,237.267,223.3525
28,482.355,505.934,470.61,448.103,250.618,223.847,304.173,263.892,204.04,205.351,369.119,358.363,229.076,217.629,355.221,386.327,494.1445,204.69549999999998,237.23250000000002,223.3525
29,482.355,505.934,470.96,448.099,250.532,223.779,304.609,264.186,204.04,205.351,369.045,358.363,229.076,217.643,355.23,386.327,494.1445,204.69549999999998,237.15550000000002,223.3595
30,482.382,505.818,470.96,447.993,250.532,223.66,304.609,264.186,204.03,205.124,369.035,358.617,228.795,217.759,355.23,386.443,494.1,204.577,237.096,223.277
31,482.382,505.818,470.566,447.993,250.532,223.847,304.609,264.186,204.03,205.105,368.981,358.942,228.681,217.759,355.221,386.299,494.1,204.5675,237.1895,223.22
32,482.387,505.818,470.566,448.064,250.532,223.847,303.717,263.787,204.03,205.03,368.981,358.617,228.681,217.876,355.221,386.299,494.10249999999996,204.53,237.1895,223.2785
33,482.388,505.821,470.699,447.993,250.631,223.894,303.717,263.787,203.962,205.008,368.933,358.22,228.564,218.15,355.125,386.299,494.10450000000003,204.485,237.2625,223.357
34,482.388,505.821,470.68,448.064,250.631,223.894,303.477,263.787,203.962,205.008,368.933,358.204,228.505,217.876,355.02,386.299,494.10450000000003,204.485,237.2625,223.1905
35,482.726,505.821,470.68,448.064,250.242,223.894,303.477,263.85,203.962,205.008,368.705,358.159,228.564,218.15,355.02,386.299,494.2735,204.485,237.06799999999998,223.357
36,482.726,505.822,470.68,448.141,250.225,223.533,303.946,264.4,204.086,205.129,368.554,358.097,228.564,218.15,355.009,385.841,494.274,204.60750000000002,236.879,223.357
37,482.326,505.822,470.352,447.964,249.682,220.557,304.267,264.519,204.378,205.427,368.462,357.99,228.505,218.171,354.939,385.841,494.074,204.90249999999997,235.1195,223.338
38,482.326,507.332,470.352,448.007,249.682,220.557,304.267,267.654,204.423,206.572,368.462,357.99,228.265,217.994,354.925,386.385,494.829,205.4975,235.1195,223.1295
39,482.637,507.332,470.32,447.872,249.682,220.557,304.267,267.654,204.423,206.482,368.462,357.878,228.265,218.192,354.925,386.106,494.9845,205.4525,235.1195,223.2285
40,482.425,507.382,470.223,448.007,249.892,220.61,304.267,267.654,204.474,206.482,368.683,357.878,228.137,218.054,354.939,385.841,494.9035,205.478,235.251,223.09550000000002
41,482.425,507.569,470.197,447.872,249.919,223.76,303.958,267.595,204.483,206.482,368.683,357.878,227.633,218.054,354.925,386.106,494.997,205.48250000000002,236.8395,222.8435
42,482.555,507.569,470.223,447.872,250.422,224.128,303.421,264.57,204.493,206.482,368.683,358.251,227.504,217.821,354.925,386.741,495.062,205.4875,237.27499999999998,222.6625
43,482.425,507.569,470.223,443.966,250.271,223.988,303.075,263.855,204.556,206.418,368.659,358.251,227.504,217.821,355.019,386.68,494.997,205.48700000000002,237.1295,222.6625
44,482.425,505.896,470.223,443.841,250.507,224.128,303.075,264.317,204.556,205.383,368.464,358.251,226.753,217.439,355.271,386.741,494.1605,204.9695,237.3175,222.096
45,482.555,505.896,470.197,443.686,250.508,224.215,303.075,264.059,204.554,205.383,368.397,358.251,226.521,217.298,355.035,386.775,494.2255,204.9685,237.3615,221.90949999999998
46,482.555,505.801,470.259,443.639,250.796,224.277,303.227,264.059,204.554,205.362,368.464,358.289,226.031,216.467,355.271,386.775,494.178,204.958,237.5365,221.24900000000002
47,482.418,505.801,469.385,443.551,251.02,224.351,303.346,264.162,204.332,205.358,368.464,357.989,224.825,216.44,355.386,386.68,494.1095,204.845,237.6855,220.6325
48,482.11,505.801,469.385,443.551,251.444,224.65,303.53,264.317,204.187,205.316,368.482,357.713,224.825,216.44,355.386,386.042,493.95550000000003,204.75150000000002,238.047,220.6325
49,482.001,505.635,469.356,443.639,251.605,224.745,303.631,266.968,204.175,205.316,368.482,357.526,224.825,216.357,355.266,385.814,493.818,204.7455,238.175,220.591
50,481.929,505.36,469.458,443.639,251.887,224.779,303.631,267.035,204.175,205.316,368.512,357.424,224.341,216.357,355.302,385.814,493.6445,204.7455,238.333,220.349
51,481.929,505.36,469.331,443.144,251.605,224.745,303.737,267.035,204.187,205.332,368.482,357.411,225.147,216.476,355.269,386.042,493.6445,204.7595,238.175,220.8115
52,481.122,505.36,469.458,443.023,251.605,224.65,303.768,267.218,204.203,205.68,368.482,357.374,225.867,216.681,355.269,386.169,493.241,204.94150000000002,238.1275,221.274
53,480.992,505.36,469.458,443.023,251.605,224.745,303.76,267.218,204.702,205.68,368.446,357.424,225.147,216.681,355.269,386.169,493.17600000000004,205.191,238.175,220.914
54,480.702,507.637,469.665,443.023,251.568,224.779,303.76,267.218,204.702,206.588,368.468,357.424,225.147,217.006,355.269,386.169,494.16949999999997,205.64499999999998,238.1735,221.0765
55,480.702,507.666,470.701,443.452,251.568,224.92,303.76,267.155,204.702,206.844,368.468,358.375,225.742,217.035,355.127,386.068,494.18399999999997,205.773,238.244,221.3885
56,480.572,507.637,470.701,443.538,251.538,224.92,303.25,267.155,204.623,206.588,368.478,358.375,225.867,217.099,355.127,386.068,494.10450000000003,205.6055,238.22899999999998,221.483
57,480.572,507.418,470.712,443.558,251.497,224.92,303.25,267.155,204.623,206.588,368.478,358.375,225.924,217.108,355.127,386.024,493.995,205.6055,238.20850000000002,221.51600000000002
58,480.702,507.418,470.712,443.613,251.375,224.811,303.25,267.117,204.509,206.588,368.535,358.138,225.924,217.195,355.127,386.024,494.06,205.5485,238.09300000000002,221.5595
59,480.836,507.353,470.733,447.192,251.497,224.727,303.25,264.347,204.509,206.646,368.611,357.955,225.975,217.195,354.857,386.024,494.09450000000004,205.5775,238.11200000000002,221.58499999999998
60,480.836,505.486,470.733,447.433,251.497,224.727,303.319,263.342,204.473,205.587,368.611,357.576,225.924,217.195,354.983,386.024,493.161,205.03,238.11200000000002,221.5595
61,480.836,505.205,470.733,447.192,251.681,224.811,303.389,263.342,204.473,205.721,368.535,357.576,224.991,216.725,354.955,386.024,493.02049999999997,205.097,238.246,220.858
62,481.16,505.205,470.606,447.433,251.74,224.999,303.389,263.342,204.313,205.587,368.611,357.536,224.887,216.024,354.955,386.168,493.1825,204.95,238.36950000000002,220.4555
63,481.16,504.956,470.606,447.505,251.898,225.32,303.319,263.497,204.288,205.55,368.519,357.536,223.874,216.024,354.955,386.264,493.058,204.919,238.60899999999998,219.949
64,480.915,504.956,470.535,447.542,252.112,225.67,303.389,263.569,204.288,205.515,368.465,357.396,223.577,215.863,354.983,386.264,492.93550000000005,204.9015,238.891,219.72
65,480.915,505,470.606,447.505,253.383,226.823,303.456,263.671,204.26,205.418,368.465,357.396,221.124,215.604,354.955,386.168,492.9575,204.839,240.103,218.364
66,481.142,505.087,470.454,447.505,253.76,228.041,303.659,263.712,204.217,205.374,368.511,357.396,220.708,215.604,355.004,386.168,493.1145,204.7955,240.9005,218.156
67,481.135,505.058,470.454,444.571,254.321,228.054,303.694,263.712,204.217,205.374,368.424,357.872,220.47,214.6,354.895,386.264,493.0965,204.7955,241.1875,217.535
68,481.135,505.058,470.454,444.232,254.321,228.054,303.694,263.966,204.206,205.368,368.424,357.877,220.47,214.6,354.895,385.776,493.0965,204.78699999999998,241.1875,217.535
69,481.135,505,470.454,444.036,254.321,228.076,303.659,263.966,204.146,205.331,368.263,358.099,220.197,214.6,354.869,385.975,493.0675,204.7385,241.1985,217.3985
70,480.628,504.734,470.387,444.036,254.076,228.076,302.172,263.966,204.146,205.3,368.263,357.877,220.197,215.211,354.407,385.975,492.681,204.723,241.076,217.704
71,480.475,504.719,470.387,443.768,253.732,228.562,301.972,263.953,204.146,205.261,368.068,358.099,220.132,215.226,354.386,385.975,492.597,204.7035,241.147,217.679
72,480.475,504.719,470.996,443.909,253.732,229.058,301.814,263.967,204.146,205.3,368.068,358.434,220.011,215.492,354.386,385.911,492.597,204.723,241.39499999999998,217.7515
73,480.452,504.734,471.414,443.909,254.076,229.185,301.552,264.482,204.22,205.3,368.499,358.434,219.931,216.501,354.407,385.911,492.59299999999996,204.76,241.63049999999998,218.216
74,480.571,505.007,471.433,443.983,254.283,230.659,301.552,267.552,204.22,205.467,368.502,358.596,219.69,216.501,354.57,385.042,492.789,204.8435,242.471,218.09550000000002
75,480.452,505.007,471.574,443.983,254.582,230.792,301.552,267.552,204.22,205.535,368.603,358.847,219.631,216.501,354.57,385.042,492.72950000000003,204.8775,242.687,218.066
76,480.347,505.007,471.574,444.07,254.688,230.887,301.507,267.552,204.283,205.544,368.779,358.847,219.631,216.501,354.57,385.042,492.677,204.9135,242.7875,218.066
77,480.347,505.007,471.774,444.103,254.688,231.923,301.546,263.793,204.201,205.544,368.779,358.847,219.631,216.576,354.258,385.075,492.677,204.8725,243.3055,218.1035
78,480.571,505.05,471.774,444.103,254.688,231.923,301.777,263.636,204.17,205.535,368.891,358.838,219.89,214.651,354.158,385.075,492.81050000000005,204.8525,243.3055,217.2705
79,481.86,505.177,471.774,444.07,253.951,231.923,301.777,263.579,204.159,205.311,368.904,358.811,221.046,214.651,354.158,385.226,493.5185,204.735,242.937,217.8485
80,481.86,505.177,471.684,444.029,253.768,231.923,301.546,263.252,204.043,205.311,368.904,358.811,222.622,214.798,354.187,385.226,493.5185,204.67700000000002,242.84550000000002,218.71
81,481.86,505.177,471.684,443.986,253.768,232.046,301.729,263.252,203.957,205.311,368.626,358.811,222.622,215.152,354.258,385.375,493.5185,204.63400000000001,242.90699999999998,218.887
82,480.629,504.972,471.186,443.917,253.768,232.046,301.729,263.252,203.957,205.426,368.904,358.811,222.622,214.798,354.588,385.392,492.8005,204.6915,242.90699999999998,218.71
83,480.419,504.972,471.094,443.493,255.023,233.387,301.729,263.369,204.043,205.426,368.786,357.972,222.431,215.119,354.588,385.418,492.6955,204.7345,244.20499999999998,218.775
84,480.419,504.972,470.895,443.493,255.513,233.387,301.686,263.55,204.063,205.426,368.626,357.901,222.418,215.152,354.588,385.683,492.6955,204.7445,244.45,218.785
85,480.629,505.018,470.689,443.493,255.638,233.387,301.686,263.55,204.137,205.356,368.626,357.62,222.387,215.152,354.339,385.798,492.82349999999997,204.7465,244.5125,218.7695
86,480.892,505.074,470.665,447.47,255.82,231.952,301.66,263.55,204.137,205.342,368.407,356.859,222.387,215.877,354.072,385.828,492.983,204.73950000000002,243.886,219.132
87,480.892,505.074,470.689,447.47,256.024,231.922,301.66,263.55,204.137,205.342,368.407,356.859,222.387,216.068,354.072,385.828,492.983,204.73950000000002,243.973,219.22750000000002
88,481.203,505.074,470.665,447.687,256.178,231.922,301.66,263.55,204.063,205.342,368.407,356.859,222.387,216.4,354.072,385.798,493.1385,204.7025,244.05,219.39350000000002
89,481.203,505.056,470.665,447.687,256.338,231.952,301.747,264.147,204.013,205.356,368.547,357.306,222.292,216.075,354.507,385.988,493.1295,204.6845,244.145,219.18349999999998
90,480.975,505.056,471.108,444.241,256.338,231.993,301.747,264.147,203.972,205.327,368.701,357.97,222.292,216.075,354.56,385.988,493.0155,204.6495,244.1655,219.18349999999998
91,480.738,505.056,471.415,444.047,256.315,231.993,301.747,264.147,203.972,205.251,368.701,358.771,222.287,216.075,354.587,385.535,492.897,204.6115,244.154,219.18099999999998
92,480.738,505.056,471.415,444.241,256.315,232.053,301.591,264.147,203.927,205.251,368.701,358.771,222.287,216.174,354.587,385.535,492.897,204.589,244.184,219.2305
93,480.706,504.982,471.415,444.167,256.338,232.054,301.552,264.28,203.862,205.362,368.701,358.771,222.287,216.174,354.587,385.988,492.84400000000005,204.612,244.19600000000003,219.2305
94,480.429,504.92,471.415,444.047,256.315,232.354,301.552,263.962,203.841,205.251,368.701,358.502,222.207,216.193,354.587,386.164,492.67449999999997,204.546,244.3345,219.2
