frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,259.141,227.068,294.378,290.617,562.578,593.052,534.594,572.852,175.321,183.135,339.024,335.167,175.943,177.715,253.52,213.092,243.10450000000003,179.228,577.815,176.829
1,259.468,227.079,294.473,290.64,562.949,593.052,535.467,574.261,175.641,183.511,339.14,337.644,177.15,179.096,253.57,213.092,243.2735,179.576,578.0005,178.123
2,259.468,227.079,296.672,290.64,562.949,593.575,535.467,574.285,178.13,184.623,340.582,337.726,177.15,179.096,253.57,213.092,243.2735,181.3765,578.262,178.123
3,259.759,227.277,294.832,290.617,562.975,593.575,535.467,574.285,178.356,185.028,340.597,339.064,177.15,179.096,253.603,213.092,243.518,181.692,578.2750000000001,178.123
4,259.759,227.277,294.832,290.64,562.949,593.052,535.47,574.261,178.421,185.028,340.045,339.064,176.621,178.915,253.603,213.078,243.518,181.72449999999998,578.0005,177.768
5,259.659,226.674,296,290.582,562.156,592.993,535.47,574.261,178.566,184.623,340.597,339.345,176.543,178.645,253.617,213.078,243.16649999999998,181.59449999999998,577.5745,177.594
6,259.659,226.674,296,290.222,562.156,592.782,535.404,574.352,178.566,184.271,340.597,339.986,176.373,178.588,253.523,213.217,243.16649999999998,181.4185,577.469,177.4805
7,259.748,226.749,295.027,289.944,562.762,592.698,535.28,574.352,178.566,184.263,340.045,340.014,176.324,178.588,253.453,213.217,243.24849999999998,181.4145,577.73,177.45600000000002
8,259.748,226.749,295.027,289.944,562.543,592.676,535.28,574.448,178.579,184.263,340.045,341.237,176.183,178.588,253.453,213.217,243.24849999999998,181.421,577.6095,177.38549999999998
9,259.758,226.783,295.027,289.944,562.543,592.424,535.28,574.448,178.254,184.271,341.456,341.268,175.566,178.645,253.464,213.217,243.27049999999997,181.2625,577.4835,177.1055
10,260.039,227.002,295.027,290.661,562.543,592.424,535.323,574.448,178.227,184.007,341.456,346.579,175.566,178.28,253.464,213.217,243.5205,181.11700000000002,577.4835,176.923
11,260.197,227.147,296.859,291.349,562.127,592.386,535.741,574.287,178.254,184.402,341.456,346.579,175.566,178.28,253.476,213.698,243.672,181.32799999999997,577.2565,176.923
12,260.665,227.565,298.169,291.414,562.127,592.38,535.837,573.027,178.428,184.402,342.578,347.253,175.566,178.28,253.476,218.788,244.115,181.415,577.2535,176.923
13,262.185,229.171,298.169,291.848,562.127,592.38,535.944,573.027,178.428,184.077,342.727,347.171,175.565,178.096,253.464,218.788,245.678,181.2525,577.2535,176.8305
14,262.687,229.187,298.095,291.848,562.113,592.38,536.026,572.965,179.104,184.007,342.578,346.619,175.134,177.746,253.377,218.838,245.937,181.5555,577.2465,176.44
15,262.687,229.364,297.865,291.848,562.356,592.552,535.837,572.965,179.104,183.922,341.064,347.171,175.134,177.746,253.237,218.788,246.02550000000002,181.513,577.454,176.44
16,263.121,230.278,298.095,291.977,562.356,592.552,535.837,574.311,179.104,183.875,342.727,347.178,175.178,177.698,253.156,213.596,246.6995,181.48950000000002,577.454,176.438
17,263.461,230.913,298.095,292.014,562.356,592.586,535.893,574.311,179.046,183.875,342.727,347.178,175.565,177.746,253.156,213.596,247.187,181.4605,577.471,176.65550000000002
18,263.661,232.236,298.685,297.973,561.617,592.846,535.893,573.042,179.046,183.922,341.053,348.655,175.178,177.436,253.377,218.883,247.9485,181.48399999999998,577.2315,176.30700000000002
19,263.661,232.378,299.108,297.973,561.548,592.653,535.893,574.311,179.046,183.922,341.094,348.859,175.178,177.436,253.766,213.596,248.0195,181.48399999999998,577.1005,176.30700000000002
20,263.838,232.378,299.508,297.973,561.548,592.653,536.505,574.497,179.543,184.199,345.663,348.859,175.178,177.436,253.771,213.532,248.108,181.871,577.1005,176.30700000000002
21,264.15,232.378,299.508,297.97,561.437,592.653,536.584,574.497,179.543,184.199,345.311,348.655,175.451,177.514,253.771,213.534,248.26399999999998,181.871,577.0450000000001,176.48250000000002
22,264.15,232.32,299.508,292.595,561.437,592.002,536.584,574.497,179.543,183.847,345.311,340.527,175.451,177.386,253.771,213.331,248.23499999999999,181.695,576.7194999999999,176.4185
23,263.853,232.32,300.346,291.137,561.362,591.993,536.505,574.497,179.253,183.775,345.663,339.556,175.451,177.307,253.766,213.304,248.0865,181.514,576.6775,176.379
24,263.838,232.119,306.035,290.071,561.362,591.993,535.503,574.406,178.698,183.847,355.925,339.236,175.451,176.902,253.763,213.292,247.9785,181.2725,576.6775,176.17649999999998
25,263.761,232.119,306.48,289.637,560.565,592.002,535.503,574.406,178.433,183.847,356.961,339.205,175.076,176.756,253.572,212.869,247.94,181.14,576.2835,175.916
26,263.692,232.272,307.511,286.419,560.565,592.002,535.234,574.406,178.47,184.595,356.961,333.274,174.513,176.506,253.572,212.678,247.982,181.5325,576.2835,175.5095
