frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,280.455,169.714,344.094,300.647,324.815,311.331,560.5085,166.9875,509.313,285.865,498.644,279.493,294.712,266.198,547.682,573.335,175.503,163.925,172.461,161.514
1,280.504,169.7655,344.097,300.647,326.064,311.746,560.51,167.161,509.313,285.865,498.644,282.622,294.737,266.271,547.685,573.335,175.523,164.008,172.461,161.861
2,280.6835,169.8735,344.602,300.647,326.084,311.746,560.51,167.369,510.043,287.226,498.644,282.678,295.093,266.274,547.685,573.335,175.739,164.008,172.869,161.869
3,280.6835,169.8735,344.602,300.647,326.594,311.753,560.5,167.2505,510.106,287.798,498.638,282.678,295.093,266.274,547.682,573.318,175.739,164.008,172.632,161.869
4,281.0135,169.8735,344.14,300.642,326.507,311.746,560.2570000000001,167.2505,510.106,287.805,498.638,282.692,295.448,266.579,547.682,572.832,175.739,164.008,172.632,161.869
5,281.03200000000004,170.05599999999998,344.225,300.592,326.507,310.992,560.0840000000001,167.71550000000002,510.117,287.978,498.638,282.692,295.485,266.579,547.424,572.744,175.739,164.373,172.869,162.562
6,281.03200000000004,170.381,344.441,300.592,326.846,310.992,559.9815,167.942,510.183,288,498.631,283.025,295.485,266.579,547.228,572.735,175.739,165.023,173.322,162.562
7,280.9865,170.27949999999998,344.441,300.939,326.846,311.674,560.069,167.60950000000003,510.184,288.144,498.847,283.025,295.485,266.488,547.424,572.714,175.536,165.023,173.365,161.854
8,280.80499999999995,170.27949999999998,344.225,300.774,326.846,311.674,560.069,167.601,510.697,288.144,498.948,283.025,295.21,266.4,547.424,572.714,175.536,165.023,173.365,161.837
9,280.4915,170.2715,344.225,300.912,327.003,311.674,560.0795,167.62349999999998,510.697,288.144,499.204,283.025,294.583,266.4,547.424,572.735,175.536,165.007,173.41,161.837
10,280.4915,170.2605,344.441,300.912,327.003,311.674,560.008,167.601,510.723,288.144,499.204,283.025,294.583,266.4,547.202,572.814,175.536,164.985,173.365,161.837
11,280.86249999999995,170.1905,344.447,300.774,327.003,311.064,560.146,167.781,510.697,288.035,499.204,282.814,295.21,266.515,547.202,573.09,175.521,164.86,173.303,162.259
12,281.349,170.14249999999998,345.805,300.133,327.003,311.064,560.1825,167.7675,510.697,288.035,499.204,282.814,295.983,266.715,547.202,573.163,175.521,164.764,173.181,162.354
13,281.593,170.098,346.07,299.764,326.861,310.929,560.347,167.739,510.697,288.035,497.673,283.102,296.386,266.8,547.572,573.122,175.492,164.704,172.984,162.494
14,281.593,170.098,346.705,299.764,326.861,311.064,560.3715,167.739,510.697,287.916,497.165,282.985,296.386,266.8,547.572,573.171,175.492,164.704,172.984,162.494
15,281.593,170.1905,346.91,300.133,327.02,311.422,560.4490000000001,167.739,510.563,288.035,496.736,283.102,296.386,266.8,547.602,573.296,175.521,164.86,172.984,162.494
16,281.12,170.098,346.91,300.133,327.184,311.422,560.5485,167.739,510.697,288.079,496.073,283.139,295.687,266.553,547.643,573.454,175.492,164.704,172.984,162.494
17,280.7745,170.274,347.162,300.579,327.184,311.986,560.8695,167.39600000000002,510.702,288.265,495.877,283.22,295.425,266.124,547.889,573.85,175.647,164.901,172.727,162.065
18,280.7745,170.5105,347.162,300.579,327.184,311.986,560.9335000000001,167.336,510.563,288.265,495.877,283.22,295.425,266.124,548.017,573.85,175.811,165.21,172.789,161.883
19,281.12,170.5105,347.172,300.477,326.976,311.638,561.057,167.2495,510.549,288.265,496.073,283.22,295.687,266.553,548.571,573.543,175.811,165.21,172.702,161.797
20,281.14549999999997,170.42849999999999,347.172,300.477,326.976,311.638,561.057,167.0975,510.71,288.587,496.513,283.22,295.646,266.645,548.571,573.543,175.647,165.21,172.702,161.493
21,281.621,170.42849999999999,347.172,300.477,326.663,311.638,561.0855,167.095,510.422,287.918,496.513,283.22,296.276,266.966,548.628,573.543,175.647,165.21,172.697,161.493
22,281.81,170.412,346.97,300.477,326.663,311.638,561.0855,167.0935,510.354,287.888,496.513,283.483,296.551,267.069,548.628,573.543,175.614,165.21,172.697,161.49
23,281.7585,170.07,346.848,301.063,327.001,311.601,563.789,166.8275,510.282,287.888,492.147,283.483,296.551,266.966,549.558,578.02,175.521,164.619,172.249,161.406
24,281.65049999999997,170.03449999999998,345.09,301.089,327.082,311.837,563.8175,165.64,509.767,287.644,492.147,283.483,296.656,266.645,549.615,578.02,175.45,164.619,172.206,159.074
25,281.6355,170.6325,344.96,301.62,327.069,311.837,563.8975,165.577,508.85,286.094,492.147,279.099,296.656,266.615,549.775,578.02,175.521,165.744,172.209,158.945
26,281.77549999999997,170.688,344.697,301.62,327.082,312.173,563.998,165.5925,508.85,285.95,498.426,279.099,296.96,266.591,549.976,578.02,175.592,165.784,172.249,158.936
27,281.77549999999997,170.5845,344.697,301.459,327.116,312.173,564.269,165.5725,508.85,285.95,498.426,279.061,296.96,266.591,550.267,578.271,175.425,165.744,172.209,158.936
28,281.79150000000004,170.586,344.564,301.459,327.646,312.173,564.2905,165.5725,509.293,285.897,498.426,279.061,296.992,266.591,550.31,578.271,175.428,165.744,172.209,158.936
29,281.7905,170.2655,344.697,301.117,328.054,311.1,564.367,165.5725,509.293,285.645,498.424,278.522,296.992,266.589,550.412,578.322,175.592,164.939,172.209,158.936
30,281.7845,170.139,344.731,300.942,328.054,311.1,564.367,165.52,509.293,285.303,498.424,278.132,296.992,266.577,550.412,578.322,175.428,164.85,172.104,158.936
31,281.2985,170.139,344.814,300.941,328.054,311.1,564.3415,165.4955,509.293,285.162,498.424,278.132,296.02,266.577,550.412,578.271,175.428,164.85,172.104,158.887
32,281.2985,170.24599999999998,344.888,300.942,327.758,311.132,564.3779999999999,165.5025,509.284,285.162,498.837,277.967,296.02,266.577,550.434,578.322,175.553,164.939,172.118,158.887
