frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,483.854,505.868,469.686,448.164,250.695,223.564,276,188.351,204.198,205.111,368.769,358.023,224.405,214.742,377,403.643,494.861,204.6545,237.1295,219.5735
1,483.961,506.108,470.852,448.287,250.826,223.693,276,188.351,204.328,205.168,369.076,360.996,224.42,215.748,377,404.196,495.0345,204.748,237.2595,220.084
2,483.961,506.108,470.852,448.296,251.18,223.714,276,188.351,204.328,205.168,369.121,360.996,224.42,216.036,377,404.196,495.0345,204.748,237.447,220.228
3,483.961,505.868,470.852,448.552,251.18,223.693,276,188.321,204.33,205.168,369.121,358.023,224.42,216.037,377,404.196,494.9145,204.749,237.4365,220.2285
4,483.857,505.78,470.839,448.296,251.18,223.693,276,188.152,204.345,205.168,369.121,361.023,224.42,216.68,377,403.466,494.8185,204.7565,237.4365,220.55
5,483.643,505.744,470.662,448.552,250.373,222.352,276,188.104,204.367,205.176,369.19,358.199,225.472,216.68,377,403.466,494.6935,204.7715,236.3625,221.076
6,483.19,505.726,470.643,448.645,250.142,222.108,276,188.104,204.367,205.166,369.19,357.88,225.486,216.68,377,402.992,494.458,204.7665,236.125,221.083
7,483.195,505.726,470.626,448.656,249.909,221.951,276,188.152,204.367,205.165,368.878,357.851,225.641,216.34,377,403.027,494.4605,204.766,235.93,220.9905
8,483.19,505.726,470.626,448.656,249.909,221.951,276,188.104,204.363,205.261,368.592,357.851,225.641,216.34,377,403.466,494.458,204.812,235.93,220.9905
9,483.195,505.726,470.626,448.656,249.59,221.802,276,187.765,204.363,205.199,368.592,357.851,225.641,216.34,377,403.521,494.4605,204.781,235.696,220.9905
10,483.195,505.726,470.626,448.645,249.503,221.795,276,188.239,204.267,205.199,368.592,357.851,225.419,216.34,377,403.521,494.4605,204.733,235.649,220.8795
11,483.211,505.777,470.626,448.656,249.503,221.694,276,187.978,204.267,205.199,369.051,357.976,225.239,216.311,377,403.713,494.494,204.733,235.5985,220.775
12,483.211,505.777,470.729,447.806,248.22,221.495,276,187.978,204.267,205.219,369.051,360.957,224.864,217.165,377,405.635,494.494,204.743,234.8575,221.0145
