frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,487.331,509.094,452.776,441.7529776674938,253.397,231.406,298.926,263.611,201.888,201.538,291.033,297.975,223.549,217.398,353.62,384.712,498.2125,201.71300000000002,242.4015,220.4735
1,488.973,509.99,457.286,442.678,253.397,231.406,299.07,263.634,201.888,201.538,291.215,298.336,223.978,217.398,353.848,384.783,499.4815,201.71300000000002,242.4015,220.688
2,489.424,510.76,457.297,443.198,253.623,231.74,299.07,263.912,201.888,201.538,291.215,298.336,223.985,217.398,353.85,384.783,500.092,201.71300000000002,242.6815,220.69150000000002
3,489.442,510.774,457.297,443.273,253.623,231.74,299.07,263.941,201.884,201.536,291.215,298.336,224.035,217.397,353.85,384.712,500.108,201.70999999999998,242.6815,220.716
4,492.162,512.075,457.308,443.301,253.397,231.406,299.281,264.282,201.56,201.274,291.215,298.369,223.985,217.397,353.944,384.062,502.11850000000004,201.417,242.4015,220.691
5,492.721,513.325,457.313,444.018,253.623,231.591,299.136,264.282,201.284,201.164,291.282,298.378,224.205,217.349,353.961,383.907,503.023,201.224,242.607,220.777
6,492.883,515.083,457.387,444.46,253.743,231.591,299.136,268.553,201.214,200.885,291.463,298.388,224.284,216.875,353.961,383.147,503.98299999999995,201.0495,242.667,220.5795
7,493.059,516.358,457.512,444.466,253.953,231.088,299.136,268.553,200.91,200.727,291.463,298.598,224.545,216.063,353.961,383.18,504.70849999999996,200.8185,242.5205,220.30399999999997
8,493.06,516.6,457.512,444.466,253.953,231.065,299.136,264.282,200.707,200.727,291.463,298.598,224.545,215.537,353.771,383.582,504.83000000000004,200.71699999999998,242.50900000000001,220.041
9,493.06,516.768,457.512,444.523,253.953,231.065,299.136,268.553,200.687,200.493,291.463,298.628,224.545,215.471,353.771,383.58,504.914,200.59,242.50900000000001,220.00799999999998
10,493.931,518.658,457.512,444.466,253.953,230.325,299.109,268.553,200.27,200.493,291.4,298.652,224.376,215.471,353.771,383.58,506.29449999999997,200.38150000000002,242.139,219.9235
11,494.372,520.345,458.151,444.541,253.953,230.171,299.068,264.247,200.229,200.493,290.825,298.652,224.262,215.471,354.003,383.582,507.35850000000005,200.361,242.062,219.8665
12,494.491,520.345,458.476,444.541,254.459,230.008,299.068,263.621,200.229,200.6,290.361,298.771,224.047,215.465,354.129,384.507,507.418,200.4145,242.2335,219.756
13,495.306,520.345,458.537,444.963,254.496,229.631,299.056,263.369,200.165,201.43,290.361,298.794,223.102,215.965,354.137,384.805,507.82550000000003,200.7975,242.0635,219.5335
14,495.306,520.591,458.617,445.047,254.496,229.596,299.056,263.369,200.21,201.862,290.361,298.886,222.192,216.104,354.129,384.805,507.94849999999997,201.036,242.046,219.14800000000002
15,495.318,520.348,458.617,445.047,254.459,229.596,298.996,263.461,200.21,201.862,290.396,298.811,222.183,216.104,354.003,384.671,507.83299999999997,201.036,242.0275,219.14350000000002
16,495.387,520.196,458.537,444.963,253.853,228.806,299.114,263.461,200.21,201.872,291.435,298.847,222.183,216.104,353.395,384.792,507.79150000000004,201.041,241.3295,219.14350000000002
17,495.66,520.121,458.537,444.963,253.778,227.814,299.211,263.461,200.21,202.074,291.604,298.847,222.192,216.104,353.287,384.792,507.8905,201.142,240.796,219.14800000000002
18,495.66,520.348,458.146,444.892,252.923,227.365,299.211,263.461,202.035,202.074,292.215,298.847,222.473,215.772,353.287,384.671,508.004,202.05450000000002,240.144,219.1225
