frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,252.985,220.536,289.13,272.98,540.359,566.026,579.722,476.54,172.522,169.913,311.765,326.44,185.987,189.624,387.17272913798126,285.064,236.7605,171.2175,553.1925,187.8055
1,253.186,220.789,289.193,273.712,540.403,566.545,580.2061028505341,478.83,172.54,170.321,312.197,327.199,186.044,189.906,387.17272913798126,290.294,236.9875,171.4305,553.4739999999999,187.97500000000002
2,253.186,220.789,289.815,273.743,540.466,566.647,580.9366057010681,478.83,172.669,170.329,312.197,327.235,186.188,190.629,387.17272913798126,290.307,236.9875,171.49900000000002,553.5565,188.4085
3,253.186,220.789,289.582,274.386,540.47,566.647,580.894,478.83,172.79,170.329,311.836,327.235,186.188,190.66,384.0263582759626,290.387,236.9875,171.5595,553.5585000000001,188.42399999999998
4,253.186,220.63,289.28,274.386,540.47,566.695,580.894,478.763,173.04,170.357,311.836,327.235,186.189,190.934,381.09905827596253,291.199,236.90800000000002,171.6985,553.5825,188.5615
5,253.186,220.63,289.582,274.386,540.47,566.695,580.894,478.606,173.04,170.436,311.836,327.256,186.235,190.934,379.72,291.324,236.90800000000002,171.738,553.5825,188.5845
6,253.641,220.63,290.041,274.386,540.471,566.695,580.278,478.606,173.04,170.436,311.801,327.085,186.244,190.948,379.604,291.432,237.13549999999998,171.738,553.5830000000001,188.596
7,254.726,220.981,290.009,273.844,540.431,566.821,580.158,478.606,172.54,170.447,311.564,326.73,186.244,191.428,379.531,291.731,237.8535,171.49349999999998,553.626,188.836
8,254.752,220.991,290.009,273.844,540.431,567.906,571.873,478.912,172.54,170.436,311.428,326.536,186.244,191.428,378.876,291.731,237.87150000000003,171.488,554.1685,188.836
9,254.781,221.032,290.009,273.795,540.447,567.906,571.825,481.997,172.265,170.389,311.428,326.324,186.244,191.476,378.826,293.625,237.9065,171.327,554.1765,188.86
10,255.218,221.276,289.384,273.795,540.494,567.906,571.341,482.392,172.265,170.349,310.867,326.324,186.254,191.716,378.826,293.743,238.247,171.307,554.2,188.985
11,255.473,225.235,289.022,273.22,540.542,567.711,571.215,481.997,172.457,169.872,310.864,326.536,186.254,192.932,378.876,293.743,240.354,171.1645,554.1265000000001,189.593
