frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,217.545,190.075,202,230.938,550.915,571.494,534.27,536.118,172.897,166.543,265,204.798,216.211,224.415,229.415,300.209,203.81,169.72,561.2045,220.313
1,218.399,191.25,202,230.959,552.636,573.307,534.27,539.077,172.976,166.881,265,205.581,216.23,225.997,236.115,301.836,204.8245,169.9285,562.9715,221.1135
2,218.788,191.74,202,231.214,555.258,578.322,534.351,540.006,173.391,166.881,265,205.581,216.547,226.021,236.115,302.532,205.264,170.136,566.79,221.284
3,218.817,191.74,202,231.3,555.275,578.322,534.351,540.006,173.633,166.919,265,205.444,216.547,227.468,236.115,302.564,205.2785,170.276,566.7985,222.0075
4,218.887,191.772,202,231.3,556.496,578.345,534.351,540.006,173.793,166.919,265,205.444,219.317,227.532,236.096,304.628,205.3295,170.356,567.4205,223.4245
5,219.021,191.963,202,231.563,556.805,578.351,535.305,539.388,173.633,168.68,265,205.272,220.343,234.387,235.964,308.281,205.492,171.1565,567.578,227.365
6,219.032,192.166,202,231.85,556.823,578.712,536.19,533.921,173.471,168.745,265,205.112,220.557,234.659,235.368,308.472,205.599,171.108,567.7675,227.608
7,219.032,192.593,202,232.462,557.509,580.538,541.221,533.919,173.471,168.789,265,204.603,220.684,235.478,235.437,308.652,205.8125,171.13,569.0235,228.081
8,219.152,194.074,202,232.563,561.945,583.185,541.221,533.468,173.471,169.523,265,204.597,220.701,235.958,235.437,310.769,206.613,171.497,572.565,228.3295
9,219.032,194.074,202,232.563,562.056,583.446,541.221,533.358,173.405,169.523,265,204.597,220.705,236.159,235.437,310.773,206.553,171.464,572.751,228.432
10,219.032,194.074,202,232.462,562.47,583.492,541.201,533.358,173.405,169.523,265,204.597,220.778,237.03,235.662,311.756,206.553,171.464,572.981,228.904
11,218.968,193.937,202,232.345,564.051,584.213,541.201,533.358,173.405,169.523,265,204.883,220.904,237.048,235.816,311.756,206.4525,171.464,574.132,228.976
12,218.968,193.444,202,232.063,565.322,585.458,541.201,533.468,173.157,169.16,265,204.883,221.132,237.497,235.833,311.756,206.206,171.1585,575.39,229.3145
13,218.636,193.444,202,231.851,566.391,585.726,541.322,533.606,172.569,169.117,265,204.883,221.132,238.127,235.833,311.715,206.04,170.843,576.0585,229.6295
14,218.558,193.066,202,231.791,567.45,586.52,541.363,533.606,172.569,169.16,265,204.943,221.425,238.534,235.892,311.715,205.812,170.8645,576.985,229.9795
