frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,268.701,233.959,309.6287605744281,284.4380400365084,504.307,534.765,444.923,508.662,177.61,179.418,314.4527717492318,332.8048521560818,200.93,202.862,323.011,223.895,251.33,178.514,519.5360000000001,201.89600000000002
1,268.701,233.959,309.75923383817,286.2464309660294,504.33,535.111,445.563,509.07,177.61,179.556,314.4527717492318,332.8048521560818,201.326,202.881,323.042,224.314,251.33,178.58300000000003,519.7205,202.1035
2,268.701,233.959,310.42018595305575,287.12376616183,504.33,535.141,445.563,509.07,177.61,179.556,314.4527717492318,333.4318619320587,201.336,202.881,324.492,224.314,251.33,178.58300000000003,519.7355,202.1085
3,268.659,233.933,310.42018595305575,287.12376616183,504.307,535.235,446.391,509.07,177.606,179.418,313.6422027152611,333.4318619320587,201.336,202.881,323.655,224.337,251.296,178.512,519.771,202.1085
4,268.289,233.713,310.42018595305575,286.42886193205874,504.279,535.141,446.391,509.029,177.551,179.556,313.6422027152611,333.4318619320587,201.486,202.862,323.655,224.314,251.00099999999998,178.55349999999999,519.71,202.17399999999998
5,267.729,233.385,310.4437605744281,287.09333519580065,504.279,535.181,446.194,509.006,176.937,179.071,313.3127717492318,333.52833519580065,201.536,202.854,323.696,224.249,250.557,178.00400000000002,519.73,202.195
6,267.636,233.222,310.4437605744281,286.42886193205874,504.279,535.235,445.556,508.901,176.937,179.071,313.6422027152611,333.52833519580065,201.536,202.854,323.837,224.249,250.42900000000003,178.00400000000002,519.7570000000001,202.195
7,267.507,233.135,310.4437605744281,285.88986193205875,504.45,535.235,445.556,508.755,176.937,179.557,313.9041971278593,332.08752673625816,201.486,203.018,323.744,224.293,250.321,178.247,519.8425,202.252
8,267.155,233.104,311.1906025483618,285.9689178951359,504.618,535.181,445.426,508.66,176.714,179.557,314.00119712785926,332.23211922068896,201.338,202.808,323.837,224.293,250.1295,178.13549999999998,519.8995,202.07299999999998
9,267.036,233.102,311.1906025483618,286.047973858213,504.633,535.365,444.967,508.654,176.714,179.008,314.00119712785926,332.37671170511976,201.321,202.723,324.33,224.332,250.06900000000002,177.861,519.999,202.022
10,266.965,232.261,311.48080681703937,286.1270298212902,504.945,535.471,444.967,508.651,175.991,178.895,314.6583097795675,332.52130418955056,201.321,202.567,324.33,224.332,249.613,177.443,520.208,201.94400000000002
11,266.503,232.204,311.48080681703937,286.20608578436736,504.945,535.365,444.959,508.382,175.991,178.895,314.6583097795675,332.6658966739813,201.338,202.534,324.365,224.332,249.3535,177.443,520.155,201.93599999999998
12,266.324,232.097,311.1906025483618,286.2851417474445,505.175,535.095,444.523,508.382,175.991,178.725,314.6583097795675,332.8104891584121,202.053,202.04,324.678,224.037,249.21050000000002,177.358,520.135,202.04649999999998
13,266.289,231.862,311.48080681703937,286.36419771052164,505.175,535.22,444.523,508.651,176.072,178.895,314.5197440040241,332.9550816428429,202.053,201.904,324.659,223.926,249.07549999999998,177.4835,520.1975,201.9785
14,265.808,231.696,311.48080681703937,286.4432536735988,505.194,535.057,444.505,508.972,176.337,178.96,311.70440702673847,333.0996741272737,202.053,201.85,324.659,223.926,248.752,177.6485,520.1255,201.9515
15,265.798,231.591,312.73551629669174,286.05396531740837,505.194,535.057,444.523,508.972,176.414,179.062,310.2466223620524,333.0996741272737,202.025,201.85,324.659,224.037,248.6945,177.738,520.1255,201.9375
16,265.798,231.521,312.73551629669174,284.7074690089128,505.389,535.057,444.523,508.972,176.414,178.96,308.8034453650234,333.0996741272737,201.164,201.85,324.659,224.071,248.65949999999998,177.687,520.223,201.507
17,265.808,231.521,312.73551629669174,284.7074690089128,505.389,535.047,444.567,508.934,176.509,179.062,301.97244536502336,334.6958849851453,201.164,202.042,323.809,224.071,248.66449999999998,177.7855,520.2180000000001,201.603
18,265.946,231.521,312.67490862903475,285.78,505.05,535.047,445.853,508.934,177.1,179.354,301.6059143739362,334.8069853056046,201.383,202.112,323.098,224.35,248.7335,178.227,520.0485,201.7475
19,266.032,231.684,312.3211623026337,285.78,504.891,535.047,445.853,508.934,177.1,180.408,298.49534504456415,337.22727731748836,201.539,202.148,322.965,224.605,248.858,178.754,519.969,201.8435
20,266.032,231.814,312.2881623026337,285.78,505.05,535.017,446.049,508.853,177.984,181.121,295.7435603798781,339.284,201.383,202.201,322.558,224.605,248.923,179.5525,520.0335,201.792
21,266.087,231.814,312.2881623026337,285.78,505.05,535.047,446.049,508.853,178.164,181.157,294.92177571519204,339.478,201.539,202.175,322.558,223.996,248.95049999999998,179.6605,520.0485,201.857
22,266.032,231.73,312.3211623026337,285.353,505.263,535.109,445.845,509.051,178.689,181.558,294.398383382849,339.909,201.383,202.175,322.558,224.767,248.88099999999997,180.12349999999998,520.186,201.779
23,265.991,231.73,312.7193009613778,285.353,505.323,535.017,445.845,507.316,178.689,181.558,294.92177571519204,339.991,201.295,202.201,322.558,223.508,248.8605,180.12349999999998,520.1700000000001,201.748
24,265.81,231.73,312.7193009613778,285.281,505.38,535.109,444.675,507.316,178.805,181.817,295.7435603798781,340.745,200.921,202.175,323.555,223.508,248.76999999999998,180.311,520.2445,201.548
25,265.81,231.602,312.7193009613778,285.269,506.029,535.343,444.548,507.334,178.805,181.817,297.2943067062792,340.745,200.376,201.054,324.282,223.299,248.70600000000002,180.311,520.6859999999999,200.715
26,265.705,231.492,310.0253776379476,285.281,506.029,535.343,444.675,509.297,178.839,182.255,301.6439143739362,340.745,200.337,200.876,323.555,224.847,248.5985,180.547,520.6859999999999,200.60649999999998
27,265.705,231.588,309.0219853056045,285.585,505.896,535.261,444.893,507.355,178.93,182.378,302.9536990386222,340.508,200.304,200.728,324.282,223.299,248.6465,180.654,520.5785,200.51600000000002
28,265.705,231.602,307.6406313115465,285.585,505.896,535.261,444.893,507.438,178.961,182.549,307.9564453650233,340.508,200.119,200.728,324.282,223.41,248.6535,180.755,520.5785,200.4235
29,265.705,231.602,307.16102364388945,286.278,505.63,535.104,444.893,507.393,179.58,182.549,316.81989967954075,340.508,199.68,200.876,323.508,223.41,248.6535,181.0645,520.367,200.27800000000002
30,265.705,231.706,304.70153099108717,287.394,505.63,534.955,445.606,507.438,180.6,183.213,320.9510383382849,340.692,199.37,202.47,322.206,223.567,248.70549999999997,181.9065,520.2925,200.92000000000002
31,266.679,232.495,303.88274632640116,287.892,505.63,534.955,445.606,507.438,180.908,183.334,323.0121150148547,340.717,199.197,202.58,322.206,223.567,249.587,182.12099999999998,520.2925,200.88850000000002
32,266.679,232.519,303.88274632640116,289.871,505.63,534.955,445.606,507.438,180.962,183.334,325.42389967954074,340.717,199.37,202.58,322.206,223.567,249.599,182.148,520.2925,200.97500000000002
