frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,268.886,194.408,326.805,298.513,310.331,311.369,553.535,182.2305,495.193,343.201,518.481,315.052,282.468,255.304,538.352,568.718,201.788,187.028,180.618,183.843
1,268.998,194.546,327.092,298.519,310.432,312.351,553.5405,182.3505,495.193,343.575,519.347,315.064,282.68,255.316,538.363,568.718,202.034,187.058,180.618,184.083
2,268.998,194.7765,327.663,299.17,310.438,312.351,553.6675,182.9405,495.684,343.575,519.347,315.064,282.68,255.316,538.617,568.718,202.31,187.243,181.571,184.31
3,268.992,194.781,327.663,299.15,310.438,311.369,553.581,182.943,495.684,343.201,519.347,315.064,282.68,255.304,538.445,568.717,202.319,187.243,181.571,184.315
4,267.0585,195.776,328.401,298.902,310.706,312.022,553.54,183.0785,495.727,344.449,519.454,315.08,278.979,255.138,538.363,568.717,204.242,187.31,181.571,184.586
5,266.901,195.994,328.401,298.902,310.737,312.022,553.339,184.1685,495.748,343.547,519.561,315.122,278.866,254.936,538.363,568.315,204.613,187.375,183.751,184.586
6,266.3935,195.994,328.401,298.902,311.564,311.156,553.192,184.1685,495.748,343.547,519.561,315.333,278.017,254.77,538.069,568.315,204.613,187.375,183.751,184.586
7,265.8505,195.833,331.385,298.804,311.581,311.136,553.163,184.147,495.727,344.449,519.561,315.333,277.646,254.055,537.963,568.363,204.356,187.31,183.751,184.543
8,264.697,195.71,331.385,298.804,312.579,310.937,553.163,183.8615,495.696,344.449,519.561,315.333,276.364,253.03,537.963,568.363,204.356,187.064,183.609,184.114
9,264.6625,195.8385,331.385,298.804,312.579,310.937,553.163,183.8605,495.696,343.828,519.265,315.333,276.34,252.985,537.963,568.363,204.613,187.064,183.609,184.112
10,263.3445,195.71,329.866,299.387,312.579,310.937,553.184,183.8605,495.696,344.295,519.265,315.333,274.526,252.163,537.969,568.399,204.356,187.064,183.609,184.112
11,262.888,195.7285,329.753,306.234,312.264,311.421,553.184,184.2965,495.685,344.295,520.201,315.333,273.944,251.832,537.969,568.399,204.429,187.028,184.481,184.112
12,262.7825,195.612,329.743,306.257,311.893,311.731,553.129,184.631,495.722,344.205,522.497,316.404,273.944,251.621,538.372,567.886,204.429,186.795,184.661,184.601
13,263.0735,195.4205,329.726,306.949,311.459,312.288,553.2055,185.076,495.722,344.295,522.802,316.497,274.526,251.621,538.549,567.862,204.209,186.632,185.21,184.942
14,263.238,194.035,325.459,306.949,311.459,312.288,553.236,185.076,495.72,344.295,522.802,316.497,274.779,251.697,538.61,567.862,204.098,183.972,185.21,184.942
15,263.2595,194.0015,325.459,306.949,311.459,312.288,553.3615,185.076,495.72,344.205,523.163,316.404,274.898,251.621,538.861,567.862,204.054,183.949,185.21,184.942
16,263.4615,193.8635,325.459,306.949,312.008,312.464,553.4425,184.8,495.842,344.082,523.479,316.193,275.302,251.621,538.932,567.953,203.855,183.872,185.077,184.523
17,263.2715,193.4335,327.926,306.949,312.008,312.738,553.8015,184.534,495.72,344.082,523.209,316.193,275.302,251.241,538.861,568.742,203.811,183.056,184.846,184.222
18,262.909,192.811,329.372,306.859,312.166,312.738,553.833,184.4145,495.842,344.082,523.163,315.982,275.302,250.516,538.924,568.742,203.467,182.155,184.607,184.222
19,262.019,192.693,329.372,306.859,312.581,312.106,553.798,184.4215,495.887,343.967,523.163,315.982,274.194,249.844,538.924,568.672,203.231,182.155,184.607,184.236
20,260.807,192.509,329.372,307.321,312.581,313.038,553.833,184.445,495.887,344.127,523.125,315.982,274.194,247.42,538.924,568.742,203.159,181.859,184.604,184.286
21,260.7495,192.509,329.663,307.425,312.581,312.749,553.805,184.445,495.887,344.127,520.302,315.741,274.194,247.305,538.868,568.742,203.159,181.859,184.604,184.286
22,260.561,192.207,329.868,307.407,312.972,312.749,554.054,184.0225,495.887,343.967,520.302,315.741,273.817,247.305,538.924,569.184,203.159,181.255,183.716,184.329
23,260.441,192.104,329.868,307.425,312.581,313.038,554.099,183.939,495.707,343.566,522.967,315.943,274.003,246.879,538.936,569.262,203.037,181.171,183.549,184.329
24,260.594,191.999,329.868,307.425,311.594,313.329,554.4635,184.1155,495.707,343.566,522.967,315.943,274.318,246.87,539.113,569.814,203.037,180.961,183.549,184.682
25,260.437,191.9075,329.584,307.425,311.171,313.911,554.4885,184.309,495.708,343.566,520.806,315.741,274.476,246.398,539.057,569.92,203.018,180.797,183.549,185.069
26,260.407,191.9075,329.366,307.479,311.171,313.911,554.4885,184.3925,495.658,343.566,522.967,315.939,274.416,246.398,539.057,569.92,203.018,180.797,183.716,185.069
27,260.437,191.92,327.521,308.088,311.171,313.911,554.5165,184.498,495.708,343.512,522.967,315.735,274.476,246.398,539.113,569.92,203.043,180.797,183.927,185.069
28,260.7685,192.122,328.789,307.479,311.171,313.838,554.4935,184.3315,495.719,343.585,523.319,315.735,274.519,247.018,539.168,569.819,203.165,181.079,184.081,184.582
29,262.6865,192.756,328.565,307.479,311.176,313.823,554.4995,184.3315,495.708,343.585,523.319,315.939,274.519,250.854,539.18,569.819,203.377,182.135,184.081,184.582
30,262.7755,192.927,328.319,307.067,311.927,313.647,554.4485,184.261,495.919,343.585,523.47,315.939,274.519,251.032,539.197,569.7,203.377,182.477,184.157,184.365
31,263.175,193.065,328.341,306.583,312.071,311.908,554.4485,184.3055,496.068,343.789,523.381,315.866,275.084,251.266,539.197,569.7,203.385,182.745,184.246,184.365
32,263.331,193.0825,328.341,306.583,312.31,311.908,554.295,184.045,496.072,343.789,523.381,315.963,275.15,251.512,539.197,569.393,203.42,182.745,184.157,183.933
