frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,252.999,223.339,292.326,272.804,544.591,570.365,491.972,513.249,171.132,167.371,330.308,337.748,186.655,196.887,307.483,297.726,238.169,169.2515,557.478,191.771
1,253.281,223.381,292.413,272.834,545.226,570.399,492.377,513.321,171.28,167.461,330.308,337.748,186.686,196.983,307.483,297.746,238.331,169.3705,557.8125,191.8345
2,253.323,223.381,292.973,272.88,545.348,570.457,492.627,513.356,171.28,167.757,331.139,338.644,186.686,196.983,307.483,297.746,238.352,169.5185,557.9025,191.8345
3,253.281,223.339,292.856,272.88,545.382,570.457,492.632,513.356,171.28,167.461,330.931,337.803,186.655,196.924,307.483,297.744,238.31,169.3705,557.9195,191.7895
4,253.281,222.916,292.413,272.88,545.588,570.457,492.632,513.356,171.317,167.407,330.308,337.748,186.536,197.065,307.48,297.746,238.0985,169.362,558.0225,191.8005
5,252.858,222.428,292.413,272.202,545.588,570.373,492.632,513.428,171.772,167.407,330.931,337.71,186.466,196.924,307.48,297.744,237.643,169.5895,557.9805,191.695
6,252.433,222.248,292.775,272.202,545.658,570.261,492.644,513.83,171.782,167.407,331.17,337.803,186.431,196.895,307.48,297.604,237.3405,169.5945,557.9595,191.663
7,251.306,222.212,292.775,272.202,545.658,570.261,492.644,514.129,172.151,167.407,331.315,337.803,186.366,196.881,307.48,297.563,236.759,169.779,557.9595,191.6235
8,251.306,222.193,292.745,272.452,545.948,570.261,492.441,513.759,172.111,167.407,331.315,337.983,186.431,196.881,307.048,297.552,236.7495,169.759,558.1045,191.656
9,251.306,222.096,292.745,272.472,545.948,570.273,492.641,513.759,172.111,167.187,331.315,337.983,186.431,196.881,307.048,297.467,236.701,169.649,558.1105,191.656
10,251.744,222.096,292.745,272.499,545.978,570.725,492.832,513.759,172.111,167.296,330.938,337.983,186.424,196.881,307.048,297.467,236.92,169.7035,558.3515,191.6525
11,251.889,221.254,292.745,272.472,546.366,570.898,492.641,513.529,171.76,167.187,330.907,337.582,186.424,196.655,307.129,297.467,236.5715,169.4735,558.632,191.5395
12,251.889,221.008,292.745,272.453,546.366,570.931,492.473,513.381,171.76,166.874,330.907,337.582,186.424,196.296,307.933,297.467,236.4485,169.317,558.6485,191.36
13,251.744,221.008,292.782,272.453,546.288,570.996,492.473,513.121,171.76,166.364,330.907,337.582,186.364,196.296,308.111,297.55,236.376,169.062,558.642,191.33
14,251.744,221.001,292.782,272.453,546.366,571.038,492.454,513.121,171.76,166.343,330.588,337.582,186.364,196.117,308.21,297.572,236.3725,169.0515,558.702,191.2405
15,251.602,221.001,292.782,272.371,546.366,571.038,492.454,513.529,172.323,166.343,330.942,337.417,186.364,196.114,308.589,297.647,236.3015,169.333,558.702,191.239
16,251.222,220.267,292.694,272.248,546.405,571.038,492.454,513.235,172.354,166.088,330.942,337.417,186.364,196.296,308.21,297.572,235.7445,169.221,558.7215,191.33
17,250.927,220.177,292.324,272.217,546.405,570.883,492.454,513.235,172.51,165.926,325.465,336.389,186.424,196.486,308.21,297.567,235.552,169.218,558.644,191.455
18,250.515,220.141,292.324,268.55,546.437,570.883,492.509,513.235,172.743,165.926,325.465,336.389,186.424,196.564,308.027,297.567,235.328,169.3345,558.66,191.494
19,250.505,220.109,292.694,268.55,546.437,570.883,492.569,513.235,172.876,166.458,330.942,336.405,186.324,196.564,307.996,297.567,235.307,169.667,558.66,191.444
20,250.505,220.028,292.878,268.55,546.437,570.883,492.532,513.235,172.743,166.458,330.496,336.057,186.309,196.564,307.971,297.48,235.2665,169.6005,558.66,191.4365
