frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,252.235,220.636,295.413,266.39,539.956,568.756,576.811,498.636,166.249,163.97,316.368,324.693,187.083,195.75,213.008,299.144,236.4355,165.1095,554.356,191.41649999999998
1,252.235,220.637,295.611,266.427,539.956,568.852,576.811,498.682,166.535,164.075,316.961,326.014,187.1,195.76,213.988,299.144,236.436,165.305,554.404,191.43
2,252.535,220.637,295.611,266.474,540.177,568.852,577.258,499.018,166.535,164.075,316.961,326.02,187.148,195.76,213.992,299.247,236.586,165.305,554.5145,191.454
3,252.452,220.637,296.034,266.509,539.956,568.852,577.258,499.018,166.693,163.97,316.961,326.1,187.1,195.76,213.992,299.146,236.5445,165.3315,554.404,191.43
4,252.235,220.637,296.034,266.427,539.947,566.316,577.258,498.682,166.693,164.075,316.748,326.669,187.083,194.317,213.988,299.144,236.436,165.38400000000001,553.1315,190.7
5,252.231,220.654,296.034,266.427,539.947,565.932,577.88,499.204,166.186,163.742,316.748,328.032,187.1,193.607,212.442,299.146,236.4425,164.964,552.9395,190.3535
6,251.677,220.654,296.034,266.306,541.318,565.932,577.935,499.204,166.186,163.742,316.736,328.645,194.026,193.607,212.38,299.156,236.1655,164.964,553.625,193.81650000000002
7,251.277,220.654,296.174,266.306,541.318,566.316,578.174,498.684,166.693,163.945,316.736,328.734,194.018,193.607,211.553,299.156,235.9655,165.31900000000002,553.817,193.8125
8,250.946,219.923,296.174,265.5,541.318,566.316,578.174,498.684,166.573,163.945,316.745,328.82,194.018,193.754,211.215,299.156,235.4345,165.25900000000001,553.817,193.886
9,250.946,219.923,296.174,265.5,541.397,565.957,578.174,498.849,166.573,163.945,316.745,328.824,194.018,193.887,211.215,299.264,235.4345,165.25900000000001,553.677,193.9525
10,250.946,219.642,295.553,266.306,541.397,565.957,577.477,498.849,166.701,163.976,316.745,328.951,193.493,193.887,211.215,299.334,235.29399999999998,165.3385,553.677,193.69
11,250.946,219.642,295.377,264.652,539.929,565.794,577.477,498.873,166.675,164.043,316.745,329.73,186.524,193.88,211.229,299.264,235.29399999999998,165.359,552.8615,190.202
12,250.946,219.642,295.146,264.652,539.896,565.627,577.474,499.163,166.573,164.043,316.745,329.73,186.461,193.788,211.238,299.158,235.29399999999998,165.308,552.7615,190.1245
13,250.943,219.529,294.714,264.652,539.896,565.47,577.322,499.574,166.675,164.043,316.44,329.728,186.461,193.87,211.32,299.264,235.236,165.359,552.683,190.1655
