frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,278.6365,169.554,333.881,305.037,318.733,312.867,572.999,159.052,539.19,255.94775,603.622,289.893,292.729,264.544,558.982,587.016,174.398,164.71,161.926,156.178
1,279.279,170.03,333.881,305.36,318.748,313.177,573.0085,159.0525,539.19,255.94775,603.904,290.042,293.703,264.855,558.988,587.029,174.866,165.194,161.926,156.179
2,279.279,170.047,341.188,305.36,319.39,313.177,573.051,159.099,539.19,255.94775,604.038,290.042,293.703,264.855,559.025,587.077,174.866,165.228,162.019,156.179
3,279.1235,170.047,334.973,307.769,320.294,313.177,573.0095,159.0815,539.19,255.94775,604.063,290.042,293.703,264.544,558.99,587.029,174.866,165.228,161.984,156.179
4,278.5645,170.03,334.973,308.04,323.489,315.527,573.0095,159.1495,539.19,255.94775,604.067,289.935,292.856,264.273,558.99,587.029,174.866,165.194,161.926,156.373
5,278.286,170.0005,334.973,308.015,324.676,315.581,573.0095,159.1505,539.19,255.94775,604.067,289.906,292.42,264.152,558.99,587.029,174.866,165.135,161.984,156.317
6,278.0635,169.2485,334.973,307.769,324.676,315.133,572.9275,159.12,539.19,255.94775,604.423,289.874,291.975,264.152,558.99,586.865,174.83,163.667,162.019,156.221
7,278.039,169.2415,334.66,307.769,324.676,315.133,572.8955,159.3645,539.19,255.94775,604.495,289.623,291.926,264.152,558.931,586.86,174.83,163.653,162.42,156.309
8,277.8765,168.7965,334.629,304.363,324.676,315.133,572.8965,159.408,539.19,255.94775,604.495,289.673,290.668,265.085,558.931,586.862,173.94,163.653,162.507,156.309
9,277.9215,168.2575,334.029,304.363,308.1455,256.5105,572.8965,159.408,539.19,255.94775,604.221,289.623,290.635,265.208,558.931,586.862,173.612,162.903,162.507,156.309
10,277.864,168.239,333.932,303.898,308.1455,256.5105,573.0325,159.3745,539.19,255.94775,604.497,289.592,290.52,265.208,559.2,586.865,173.575,162.903,162.467,156.282
11,277.783,168.4875,333.832,304.363,292.648,204.474,573.218,159.388,539.19,255.94775,604.428,289.592,290.481,265.085,559.358,587.078,173.49,163.485,162.467,156.309
12,273.97,169.0035,332.757,304.363,283.792,204.474,573.218,159.3745,539.19,255.94775,604.221,289.673,284.63,263.31,559.358,587.078,173.49,164.517,162.467,156.282
13,273.8635,169.3515,332.672,303.898,282.733,204.474,573.139,159.3245,539.19,255.94775,604.272,289.525,284.441,263.286,559.2,587.078,173.49,165.213,162.467,156.182
14,273.8635,169.5075,332.638,303.898,282.575,204.474,572.943,159.2705,539.19,255.94775,604.349,289.495,284.441,263.286,559.096,586.79,173.683,165.332,162.372,156.169
15,273.8165,169.566,332.527,304.179,282.454,204.474,572.83,159.3735,539.19,255.94775,604.349,289.495,284.323,263.31,558.931,586.729,173.792,165.34,162.578,156.169
16,273.8755,169.8375,332.254,303.442,282.088,204.237,572.83,159.4115,539.19,255.94775,604.272,289.436,284.441,263.31,558.931,586.729,173.943,165.732,162.662,156.161
17,273.8045,171.3485,332.13,303.308,281.346,204.107,572.943,159.3695,539.19,255.94775,604.349,289.436,284.323,263.286,559.096,586.79,176.396,166.301,162.578,156.161
18,273.5145,171.424,332.13,302.868,281.344,204.107,572.744,159.203,539.19,255.94775,604.349,289.436,284.21,262.819,558.764,586.724,176.516,166.332,162.282,156.124
19,273.364,171.476,332.13,302.561,281.333,204.107,572.5565,158.678,539.19,255.94775,604.161,289.482,284.157,262.571,558.507,586.606,176.516,166.436,161.232,156.124
