frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,254.1875,192.3185,325.152,319.222,300.636,331.281,510.91650000000004,165.6925,476.138,335.188,471.53,323.878,269.283,239.092,498.513,523.32,191.528,193.109,164.832,166.553
1,254.32,192.7405,326.001,319.339,300.944,331.4,511.25149999999996,167.5485,476.418,335.188,473.242,324.452,269.349,239.291,498.513,523.99,191.532,193.949,164.877,170.22
2,254.32,193.0685,326.042,319.36,300.944,331.4,511.25149999999996,167.90699999999998,476.418,335.188,473.461,324.452,269.349,239.291,498.513,523.99,192.169,193.968,165.56,170.254
3,254.41649999999998,193.0685,326.228,319.381,300.944,331.412,511.2495,167.9145,476.138,335.182,473.51,324.452,269.501,239.332,498.509,523.99,192.169,193.968,165.56,170.269
4,254.423,193.29500000000002,326.121,319.39,300.932,331.402,511.10249999999996,168.17899999999997,475.892,335.169,473.735,323.097,269.501,239.345,498.258,523.947,192.622,193.968,165.712,170.646
5,254.49099999999999,193.4225,326.121,319.404,300.932,331.402,510.5315,168.5845,475.892,334.826,473.735,322.79,269.501,239.481,497.197,523.866,192.622,194.223,166.513,170.656
6,254.49099999999999,193.4335,326.121,319.476,300.818,331.466,510.3895,168.65800000000002,475.892,334.621,473.735,322.065,269.501,239.481,497.197,523.582,192.644,194.223,166.61,170.706
7,254.508,193.274,325.586,319.476,300.767,331.483,510.3635,168.66000000000003,475.892,333.464,473.961,321.275,269.535,239.481,497.197,523.53,192.644,193.904,166.61,170.71
8,254.512,193.084,325.586,319.404,300.818,331.466,510.3635,168.66500000000002,475.892,333.464,473.714,321.275,269.543,239.481,497.197,523.53,192.754,193.414,166.61,170.72
9,254.402,192.8485,325.586,319.321,300.92,331.466,509.90999999999997,170.305,475.894,333.464,472.146,321.275,269.543,239.261,496.424,523.396,192.638,193.059,169.821,170.789
10,254.402,192.8365,326.174,319.321,300.767,331.466,509.95449999999994,170.2705,475.892,334.509,472.126,321.695,269.543,239.261,496.513,523.396,192.638,193.035,169.821,170.72
11,254.87599999999998,192.527,326.39,319.321,300.908,331.478,509.977,170.3355,475.892,334.7,472.126,322.706,269.895,239.857,496.424,523.53,192.241,192.813,169.951,170.72
12,255.308,192.495,326.39,319.481,300.908,331.478,509.528,170.411,475.894,334.7,472.126,323.107,270.759,239.857,495.695,523.361,192.177,192.813,170.169,170.653
13,255.24450000000002,192.4495,326.174,319.602,300.715,331.578,509.441,170.441,475.985,334.748,472.212,323.107,270.759,239.73,495.572,523.31,192.086,192.813,170.229,170.653
14,255.4905,192.6165,326.062,319.602,300.673,331.578,509.4805,170.4355,475.985,334.828,472.212,323.107,270.95,240.031,495.695,523.266,192.177,193.056,170.218,170.653
15,255.24450000000002,192.57100000000003,325.955,319.628,300.673,331.578,509.378,170.45600000000002,475.985,334.748,472.212,323.107,270.759,239.73,495.572,523.184,192.086,193.056,170.229,170.683
16,255.22199999999998,192.57100000000003,325.774,319.945,300.573,331.576,509.378,170.55149999999998,475.956,334.828,472.212,323.107,270.714,239.73,495.572,523.184,192.086,193.056,170.378,170.725
17,254.86950000000002,192.53050000000002,325.612,319.945,300.55,331.517,509.08950000000004,170.7235,475.886,334.828,472.023,322.567,270.009,239.73,495.185,522.994,191.966,193.095,170.722,170.725
18,254.728,192.25549999999998,325.357,319.628,300.46,331.473,509.1885,170.5305,475.886,334.828,472.023,322.567,269.755,239.701,495.185,523.192,191.745,192.766,170.378,170.683
19,254.728,192.0095,325.612,319.628,300.46,331.434,509.1885,170.509,475.886,335.007,472.034,322.591,269.755,239.701,495.185,523.192,191.303,192.716,170.378,170.64
20,254.65249999999997,192.03449999999998,325.317,319.786,300.46,331.429,508.683,170.8215,476.153,335.777,472.034,323.051,269.604,239.701,493.902,523.464,191.303,192.766,171.003,170.64
21,254.55349999999999,192.2615,324.9,319.786,300.485,331.413,509.8205,170.2295,476.154,335.777,471.979,323.051,269.604,239.503,496.144,523.497,191.687,192.836,169.924,170.535
22,253.976,192.0695,325.317,319.471,300.585,331.371,509.89,170.213,476.271,335.777,471.979,323.051,268.788,239.164,496.22,523.56,191.303,192.836,169.891,170.535
23,253.7525,192.2615,325.317,319.308,300.585,331.371,510.25699999999995,170.213,476.54,335.777,471.979,323.376,268.788,238.717,496.455,524.059,191.687,192.836,169.891,170.535
24,253.7525,192.276,325.317,319.285,300.585,331.237,510.25699999999995,170.2175,476.54,335.777,471.979,323.532,268.788,238.717,496.455,524.059,191.716,192.836,169.891,170.544
25,253.96500000000003,192.2715,325.274,319.285,300.33,331.125,510.4035,170.2175,476.54,335.845,472.154,324.173,269.213,238.717,496.731,524.076,191.871,192.672,169.891,170.544
26,254.4365,192.13,325.274,319.285,300.323,331.125,510.406,170.2175,476.515,335.845,472.154,324.173,269.294,239.579,496.736,524.076,191.871,192.389,169.891,170.544
27,254.5745,192.14600000000002,325.081,319.426,300.298,331.094,510.5525,170.137,476.515,335.845,472.349,324.173,269.361,239.788,497.163,523.942,192.032,192.26,169.742,170.532
28,254.5945,192.02,325.138,319.426,300.183,331.125,511.41949999999997,166.0875,476.515,335.734,472.349,324.083,269.379,239.81,499.082,523.757,192.032,192.008,165.655,166.52
29,254.58350000000002,192.04649999999998,325.081,319.426,300.09,331.125,511.4095,166.0875,476.515,335.734,472.351,323.739,269.379,239.788,499.232,523.587,191.833,192.26,165.655,166.52
30,254.541,192.04649999999998,325.081,319.414,300.09,331.254,511.5265,165.94,476.515,335.624,472.678,323.537,269.294,239.788,499.466,523.587,191.833,192.26,165.655,166.225
31,253.94650000000001,192.04649999999998,325.138,319.355,300.181,331.232,511.6115,165.95049999999998,476.512,335.074,474.13,323.017,269.12,238.773,499.466,523.757,191.833,192.26,165.777,166.124
32,253.94650000000001,191.91649999999998,325.42,319.355,300.182,331.232,511.668,165.99849999999998,476.512,334.976,474.13,323.017,269.12,238.773,499.466,523.87,191.801,192.032,165.777,166.22
33,253.9065,191.9145,325.503,319.414,300.182,331.232,511.668,165.99849999999998,476.512,334.976,474.13,322.798,269.04,238.773,499.466,523.87,191.797,192.032,165.777,166.22
34,254.32,191.877,325.503,319.414,300.275,331.28,512.1875,165.815,476.57,334.976,472.145,322.798,269.12,239.52,500.377,523.998,191.722,192.032,165.506,166.124
35,254.5605,192.05200000000002,325.42,319.733,300.526,331.312,511.87749999999994,165.827,476.57,334.976,472.145,322.798,269.316,239.805,499.743,524.012,191.722,192.382,165.434,166.22
36,254.5605,192.5665,325.42,319.788,300.554,331.484,512.069,165.827,476.57,334.976,472.145,322.798,269.316,239.805,499.743,524.395,191.801,193.332,165.434,166.22
37,254.4225,192.62099999999998,325.503,319.788,300.554,331.525,512.5105,165.7745,472.742,334.928,474.093,320.051,269.04,239.805,500.409,524.612,191.91,193.332,165.468,166.081
38,254.40699999999998,192.62099999999998,325.544,319.887,300.589,331.568,512.588,165.755,472.742,334.839,475.061,319.888,269.346,239.468,500.553,524.623,191.91,193.332,165.474,166.036
39,254.44,192.5325,325.683,319.887,300.589,331.525,512.5825,165.7745,472.742,334.774,475.456,319.857,269.412,239.468,500.553,524.612,191.911,193.154,165.468,166.081
40,254.44,192.5325,325.683,319.887,300.589,331.484,512.5825,165.77749999999997,475.928,334.774,475.456,319.857,269.412,239.468,500.553,524.612,191.911,193.154,165.474,166.081
41,254.9255,192.45600000000002,325.683,319.887,300.691,331.568,512.5865,165.7945,475.928,334.774,475.322,319.857,269.735,240.116,500.55,524.623,191.96,192.952,165.553,166.036
42,255.375,192.45600000000002,325.683,319.887,300.691,331.568,514.6465,165.98649999999998,475.928,335.203,475.061,320.966,270.355,240.395,500.965,528.328,191.96,192.952,166.128,165.845
43,255.375,192.45600000000002,326.151,319.868,300.679,331.512,514.452,167.324,475.842,335.203,475.234,321.328,270.355,240.395,500.576,528.328,191.96,192.952,168.803,165.845
44,255.375,192.45600000000002,326.272,320.266,300.746,331.611,514.55,167.40550000000002,475.77,335.275,474.394,321.328,270.355,240.395,500.576,528.524,191.96,192.952,168.966,165.845
45,255.23399999999998,192.45600000000002,326.272,320.631,300.827,331.611,514.55,167.256,475.77,335.275,474.394,321.328,270.198,240.27,500.576,528.524,191.96,192.952,168.966,165.546
