frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,207.563,200.14749999999998,278.308,343.001,268.311,351.072,559.7864999999999,183.6945,465.05,314.8,477.75,334.264,219.903,195.223,542.441,577.132,202.045,198.25,181.56,185.829
1,207.86700000000002,200.14749999999998,278.359,343.559,268.633,352.528,559.8755,184.25150000000002,465.205,314.888,478.199,334.274,219.931,195.803,542.619,577.132,202.045,198.25,182.217,186.286
2,209.289,200.14749999999998,278.367,343.594,268.633,352.528,559.8755,184.73149999999998,465.228,314.919,478.215,334.36,222.775,195.803,542.619,577.132,202.045,198.25,183.177,186.286
3,209.221,200.14749999999998,278.367,343.594,268.633,352.528,559.7935,184.804,465.228,314.888,478.199,334.36,222.775,195.667,542.619,576.968,202.045,198.25,183.177,186.431
4,209.221,200.14749999999998,279.056,344.602,268.705,352.528,559.5084999999999,184.81349999999998,465.228,314.888,478.199,334.369,222.775,195.667,542.554,576.463,202.045,198.25,183.177,186.45
5,209.34750000000003,200.352,279.412,344.602,269.017,352.543,559.5084999999999,184.77100000000002,465.228,314.919,478.215,334.622,223.104,195.591,542.554,576.463,202.037,198.667,183.045,186.497
6,209.34750000000003,200.4785,279.412,344.856,269.51,352.543,559.3689999999999,184.68,465.119,314.688,478.195,334.648,223.104,195.591,542.554,576.184,202.27,198.687,182.863,186.497
7,209.3855,200.703,279.306,345.049,269.768,352.738,559.338,184.65300000000002,464.994,314.677,478.016,334.649,223.104,195.667,542.577,576.099,202.457,198.949,182.809,186.497
8,208.69549999999998,200.7525,279.33,344.923,269.768,352.738,559.338,184.6265,464.994,314.688,478.003,334.66,221.307,196.084,542.577,576.099,202.27,199.235,182.777,186.476
9,208.69549999999998,200.7,279.33,345.153,269.768,352.78,559.338,184.625,465.119,314.688,478.003,334.66,221.307,196.084,542.577,576.099,202.165,199.235,182.777,186.473
10,208.69549999999998,200.7,279.33,345.153,269.474,352.78,559.6645000000001,183.4015,464.956,314.688,478.003,334.648,221.307,196.084,542.363,576.966,202.165,199.235,180.756,186.047
11,208.6385,200.5145,280.141,344.923,269.474,353.762,559.6585,183.4015,464.956,314.676,478.012,334.388,221.307,195.97,542.351,576.966,202.057,198.972,180.756,186.047
12,209.3485,200.36950000000002,280.246,344.766,269.474,353.785,559.6585,183.4015,464.956,314.818,478.135,334.388,222.77,195.927,542.351,576.966,201.836,198.903,180.756,186.047
13,209.26600000000002,200.285,281.101,344.437,269.962,353.85,559.481,184.586,464.956,314.814,478.145,334.388,222.77,195.762,542.363,576.599,201.69,198.88,182.698,186.474
14,209.341,200.1895,280.728,344.437,269.962,353.85,559.5245,184.695,464.956,314.814,478.145,334.388,222.77,195.912,542.45,576.599,201.69,198.689,182.913,186.477
15,209.341,200.142,280.728,344.437,269.967,353.785,559.5605,184.695,464.816,314.814,478.012,334.447,222.77,195.912,542.522,576.599,201.661,198.623,182.913,186.477
16,209.47500000000002,200.03,280.896,344.678,270.097,353.785,559.577,184.586,465.028,314.814,478.255,334.457,223.383,195.567,542.522,576.632,201.595,198.465,182.698,186.474
17,209.47500000000002,200.0245,280.896,345.035,270.102,353.303,559.5409999999999,184.6295,465.028,314.772,478.004,334.457,223.383,195.567,542.45,576.632,201.595,198.454,182.698,186.561
18,209.5355,199.90800000000002,280.826,345.453,269.967,352.809,559.5319999999999,184.37849999999997,465.028,314.772,477.856,334.285,223.383,195.688,542.432,576.632,201.491,198.325,182.45,186.307
